user_id,problem_id,correct,skill_name
78110,89016,1,Absolute Value
78137,89001,0,Absolute Value
78137,88995,0,Absolute Value
78137,89002,0,Absolute Value
78137,88858,1,Absolute Value
78137,88859,0,Absolute Value
78137,89015,0,Absolute Value
78154,88998,1,Absolute Value
78154,89002,1,Absolute Value
78160,88994,1,Absolute Value
78160,88856,1,Absolute Value
78160,88999,0,Absolute Value
78160,89016,1,Absolute Value
78160,88853,1,Absolute Value
78161,88856,1,Absolute Value
78163,89014,0,Absolute Value
78163,88854,1,Absolute Value
78164,88999,0,Absolute Value
78164,89017,1,Absolute Value
78164,89019,1,Absolute Value
78164,88859,1,Absolute Value
78166,88993,0,Absolute Value
78166,88855,1,Absolute Value
78167,89000,1,Absolute Value
78167,88998,1,Absolute Value
78167,89016,0,Absolute Value
78167,89013,1,Absolute Value
78168,89013,1,Absolute Value
78168,88858,1,Absolute Value
78169,88999,0,Absolute Value
78169,89017,1,Absolute Value
78171,89018,1,Absolute Value
78171,88856,0,Absolute Value
78173,89020,0,Absolute Value
78174,89002,1,Absolute Value
78174,88852,0,Absolute Value
78174,88856,1,Absolute Value
78175,88861,1,Absolute Value
78175,88860,1,Absolute Value
78175,89017,0,Absolute Value
78175,89016,0,Absolute Value
78175,88855,0,Absolute Value
78178,89011,0,Absolute Value
78178,89020,0,Absolute Value
78184,88997,0,Absolute Value
78265,88855,0,Absolute Value
78266,89013,0,Absolute Value
78267,88993,0,Absolute Value
78267,88997,1,Absolute Value
78268,88994,1,Absolute Value
78268,89016,1,Absolute Value
78268,88857,0,Absolute Value
78270,88995,0,Absolute Value
78272,89020,1,Absolute Value
78273,89012,0,Absolute Value
78273,88993,1,Absolute Value
78273,88853,0,Absolute Value
78273,89011,1,Absolute Value
78273,88998,1,Absolute Value
78275,89013,1,Absolute Value
78276,88860,1,Absolute Value
78278,89015,0,Absolute Value
78278,88995,1,Absolute Value
78278,89013,1,Absolute Value
78279,89012,1,Absolute Value
78279,88855,1,Absolute Value
78281,89018,1,Absolute Value
78281,88860,0,Absolute Value
78281,88853,1,Absolute Value
78282,89001,1,Absolute Value
78282,89002,1,Absolute Value
78282,89012,1,Absolute Value
78283,88994,1,Absolute Value
78284,88859,0,Absolute Value
78284,88861,0,Absolute Value
78284,88998,1,Absolute Value
78284,89011,1,Absolute Value
78286,89012,0,Absolute Value
78286,88995,1,Absolute Value
78356,89000,1,Absolute Value
78357,88861,0,Absolute Value
78357,89001,0,Absolute Value
78358,89002,0,Absolute Value
78358,88998,1,Absolute Value
78358,89000,1,Absolute Value
78358,88854,0,Absolute Value
78358,88994,0,Absolute Value
78360,88997,1,Absolute Value
78360,89001,0,Absolute Value
78360,89016,1,Absolute Value
78360,88853,1,Absolute Value
78360,89018,0,Absolute Value
78361,88858,0,Absolute Value
78361,88998,1,Absolute Value
78361,88861,0,Absolute Value
78363,88996,0,Absolute Value
78365,89019,1,Absolute Value
78365,88861,1,Absolute Value
78365,89017,1,Absolute Value
78366,89002,0,Absolute Value
78366,89020,0,Absolute Value
78366,88857,0,Absolute Value
78367,89000,1,Absolute Value
78367,89016,1,Absolute Value
78367,88857,0,Absolute Value
78368,88996,1,Absolute Value
78369,88861,1,Absolute Value
78369,89000,1,Absolute Value
78371,89019,1,Absolute Value
78371,89014,1,Absolute Value
78373,89017,1,Absolute Value
78508,88994,1,Absolute Value
78508,88857,1,Absolute Value
78508,88999,0,Absolute Value
78508,88996,1,Absolute Value
78509,88993,0,Absolute Value
78509,89015,1,Absolute Value
78509,89020,1,Absolute Value
78509,88999,1,Absolute Value
78509,89011,1,Absolute Value
78510,89012,0,Absolute Value
78510,88998,1,Absolute Value
78510,88860,1,Absolute Value
78510,88859,1,Absolute Value
78510,88858,0,Absolute Value
78510,88999,1,Absolute Value
78510,89001,0,Absolute Value
78510,88993,1,Absolute Value
78510,88857,1,Absolute Value
78510,89013,1,Absolute Value
78510,89016,1,Absolute Value
78510,88861,0,Absolute Value
78510,89017,1,Absolute Value
78510,89018,1,Absolute Value
78572,89014,1,Absolute Value
78572,88853,1,Absolute Value
78572,88860,0,Absolute Value
78572,88994,1,Absolute Value
78572,89012,0,Absolute Value
78572,88998,1,Absolute Value
78595,88993,0,Absolute Value
78595,88857,0,Absolute Value
78595,89019,1,Absolute Value
78704,88857,0,Absolute Value
78704,88858,1,Absolute Value
78704,88859,1,Absolute Value
78704,89002,1,Absolute Value
78705,88858,1,Absolute Value
78705,88993,0,Absolute Value
78705,89001,0,Absolute Value
78705,88997,0,Absolute Value
78706,88861,1,Absolute Value
78706,89012,1,Absolute Value
78706,89011,1,Absolute Value
78706,89001,0,Absolute Value
78707,88859,1,Absolute Value
78707,89015,1,Absolute Value
78708,88857,1,Absolute Value
78708,89013,1,Absolute Value
78710,89001,0,Absolute Value
78710,89016,0,Absolute Value
78710,89013,0,Absolute Value
78710,89015,1,Absolute Value
78712,88855,1,Absolute Value
78712,88852,1,Absolute Value
78718,88854,0,Absolute Value
78718,88995,1,Absolute Value
78718,89016,1,Absolute Value
78719,88861,0,Absolute Value
78719,88852,1,Absolute Value
78719,88998,1,Absolute Value
78720,88997,1,Absolute Value
78721,89014,0,Absolute Value
78721,88861,1,Absolute Value
78722,89015,1,Absolute Value
78722,89020,1,Absolute Value
78722,89013,0,Absolute Value
78722,88861,0,Absolute Value
78723,89000,1,Absolute Value
78723,89019,0,Absolute Value
78723,88852,1,Absolute Value
78723,89001,0,Absolute Value
78726,89015,1,Absolute Value
78726,88995,1,Absolute Value
78727,89018,1,Absolute Value
78727,88997,0,Absolute Value
78727,89015,0,Absolute Value
78729,89020,1,Absolute Value
78729,89011,1,Absolute Value
78729,88997,1,Absolute Value
78729,88858,0,Absolute Value
78729,89017,0,Absolute Value
79403,88997,0,Absolute Value
79403,89002,1,Absolute Value
79403,88855,0,Absolute Value
79403,89011,1,Absolute Value
79595,88858,0,Absolute Value
79595,88857,0,Absolute Value
79595,88855,0,Absolute Value
79595,89020,0,Absolute Value
79804,89020,1,Absolute Value
79862,89002,1,Absolute Value
79957,89012,0,Absolute Value
79962,88854,0,Absolute Value
79963,88853,1,Absolute Value
80219,88994,1,Absolute Value
80219,88860,0,Absolute Value
80219,88856,0,Absolute Value
80219,89012,0,Absolute Value
80219,88999,0,Absolute Value
80219,88997,0,Absolute Value
80219,89015,0,Absolute Value
80219,89013,1,Absolute Value
