user_id,problem_id,correct,skill_name
78704,94624,0,Algebraic Simplification
78704,94756,0,Algebraic Simplification
78704,94649,0,Algebraic Simplification
78704,94610,0,Algebraic Simplification
78704,94743,1,Algebraic Simplification
78704,94750,0,Algebraic Simplification
78704,94755,0,Algebraic Simplification
78704,94620,0,Algebraic Simplification
78704,94751,0,Algebraic Simplification
78704,94647,0,Algebraic Simplification
78704,94611,1,Algebraic Simplification
78704,94608,0,Algebraic Simplification
78704,94623,1,Algebraic Simplification
78704,94644,0,Algebraic Simplification
78704,94760,0,Algebraic Simplification
78704,94625,0,Algebraic Simplification
78704,94609,0,Algebraic Simplification
78704,94749,0,Algebraic Simplification
78704,94614,0,Algebraic Simplification
78704,94617,0,Algebraic Simplification
78704,94744,0,Algebraic Simplification
78705,94610,1,Algebraic Simplification
78705,94625,1,Algebraic Simplification
78705,94613,0,Algebraic Simplification
78706,94648,0,Algebraic Simplification
78706,94756,0,Algebraic Simplification
78706,94761,0,Algebraic Simplification
78706,94647,1,Algebraic Simplification
78706,94646,1,Algebraic Simplification
78706,94613,1,Algebraic Simplification
78707,94614,0,Algebraic Simplification
78707,94748,1,Algebraic Simplification
78708,94751,1,Algebraic Simplification
78708,94613,1,Algebraic Simplification
78708,94750,0,Algebraic Simplification
78708,94743,1,Algebraic Simplification
78712,94620,1,Algebraic Simplification
78712,94615,1,Algebraic Simplification
78712,94621,1,Algebraic Simplification
78714,94745,1,Algebraic Simplification
78714,94612,1,Algebraic Simplification
78714,94747,1,Algebraic Simplification
78714,94609,1,Algebraic Simplification
78714,94642,0,Algebraic Simplification
78714,94610,1,Algebraic Simplification
78714,94749,1,Algebraic Simplification
78714,94750,0,Algebraic Simplification
78714,94606,0,Algebraic Simplification
78714,94616,1,Algebraic Simplification
78714,94624,1,Algebraic Simplification
78714,94613,0,Algebraic Simplification
78714,94641,0,Algebraic Simplification
78714,94608,0,Algebraic Simplification
78720,94746,0,Algebraic Simplification
78720,94606,1,Algebraic Simplification
78722,94757,0,Algebraic Simplification
78722,94641,0,Algebraic Simplification
78722,94607,0,Algebraic Simplification
78726,94618,0,Algebraic Simplification
78726,94752,0,Algebraic Simplification
78727,94611,0,Algebraic Simplification
78727,94761,0,Algebraic Simplification
78727,94613,0,Algebraic Simplification
78765,94609,1,Algebraic Simplification
78765,94649,1,Algebraic Simplification
78765,94611,1,Algebraic Simplification
78765,94620,1,Algebraic Simplification
78765,94745,1,Algebraic Simplification
78765,94756,0,Algebraic Simplification
78765,94622,1,Algebraic Simplification
78765,94749,0,Algebraic Simplification
78765,94640,0,Algebraic Simplification
78765,94606,1,Algebraic Simplification
79957,94606,0,Algebraic Simplification
79957,94748,0,Algebraic Simplification
79957,94610,0,Algebraic Simplification
79957,94647,1,Algebraic Simplification
79957,94646,0,Algebraic Simplification
79957,94745,0,Algebraic Simplification
79957,94749,0,Algebraic Simplification
79957,94612,0,Algebraic Simplification
79957,94640,0,Algebraic Simplification
79957,94611,1,Algebraic Simplification
79957,94747,0,Algebraic Simplification
79957,94645,0,Algebraic Simplification
79957,94644,0,Algebraic Simplification
79963,94622,0,Algebraic Simplification
79963,94619,1,Algebraic Simplification
80219,94618,1,Algebraic Simplification
80219,94607,1,Algebraic Simplification
