user_id,problem_id,correct,skill_name
70727,88926,1,Angles on Parallel Lines Cut by a Transversal
71740,88931,1,Angles on Parallel Lines Cut by a Transversal
71830,88937,1,Angles on Parallel Lines Cut by a Transversal
71881,88937,1,Angles on Parallel Lines Cut by a Transversal
71881,88939,1,Angles on Parallel Lines Cut by a Transversal
75169,88927,1,Angles on Parallel Lines Cut by a Transversal
75316,143038,1,Angles on Parallel Lines Cut by a Transversal
75316,143044,1,Angles on Parallel Lines Cut by a Transversal
76456,88925,1,Angles on Parallel Lines Cut by a Transversal
76975,88940,1,Angles on Parallel Lines Cut by a Transversal
78041,88926,1,Angles on Parallel Lines Cut by a Transversal
78043,88937,1,Angles on Parallel Lines Cut by a Transversal
78046,88939,1,Angles on Parallel Lines Cut by a Transversal
78047,88942,0,Angles on Parallel Lines Cut by a Transversal
78047,88943,0,Angles on Parallel Lines Cut by a Transversal
78048,88943,1,Angles on Parallel Lines Cut by a Transversal
78052,88930,1,Angles on Parallel Lines Cut by a Transversal
78073,88935,1,Angles on Parallel Lines Cut by a Transversal
78091,88932,1,Angles on Parallel Lines Cut by a Transversal
78101,88934,1,Angles on Parallel Lines Cut by a Transversal
78108,88942,0,Angles on Parallel Lines Cut by a Transversal
78108,88937,1,Angles on Parallel Lines Cut by a Transversal
78191,88925,0,Angles on Parallel Lines Cut by a Transversal
78191,88937,0,Angles on Parallel Lines Cut by a Transversal
78191,88939,0,Angles on Parallel Lines Cut by a Transversal
78191,88930,0,Angles on Parallel Lines Cut by a Transversal
78241,88944,1,Angles on Parallel Lines Cut by a Transversal
78254,88941,1,Angles on Parallel Lines Cut by a Transversal
78411,88930,1,Angles on Parallel Lines Cut by a Transversal
78411,88942,1,Angles on Parallel Lines Cut by a Transversal
78412,88927,1,Angles on Parallel Lines Cut by a Transversal
78415,88935,1,Angles on Parallel Lines Cut by a Transversal
78418,88925,1,Angles on Parallel Lines Cut by a Transversal
78418,88944,1,Angles on Parallel Lines Cut by a Transversal
78418,88930,1,Angles on Parallel Lines Cut by a Transversal
78418,88942,1,Angles on Parallel Lines Cut by a Transversal
78446,88935,1,Angles on Parallel Lines Cut by a Transversal
78446,88940,1,Angles on Parallel Lines Cut by a Transversal
78447,88944,1,Angles on Parallel Lines Cut by a Transversal
78447,88940,1,Angles on Parallel Lines Cut by a Transversal
78447,88936,1,Angles on Parallel Lines Cut by a Transversal
78449,88933,1,Angles on Parallel Lines Cut by a Transversal
78453,88930,1,Angles on Parallel Lines Cut by a Transversal
78454,88943,0,Angles on Parallel Lines Cut by a Transversal
78454,88941,1,Angles on Parallel Lines Cut by a Transversal
78454,88930,1,Angles on Parallel Lines Cut by a Transversal
78455,88936,1,Angles on Parallel Lines Cut by a Transversal
78455,88937,1,Angles on Parallel Lines Cut by a Transversal
78456,88935,1,Angles on Parallel Lines Cut by a Transversal
78456,88937,1,Angles on Parallel Lines Cut by a Transversal
78456,88943,1,Angles on Parallel Lines Cut by a Transversal
78456,88940,1,Angles on Parallel Lines Cut by a Transversal
78457,88933,0,Angles on Parallel Lines Cut by a Transversal
78458,88925,1,Angles on Parallel Lines Cut by a Transversal
78458,88937,1,Angles on Parallel Lines Cut by a Transversal
78459,88941,1,Angles on Parallel Lines Cut by a Transversal
78459,88943,1,Angles on Parallel Lines Cut by a Transversal
78459,88935,1,Angles on Parallel Lines Cut by a Transversal
78460,88942,1,Angles on Parallel Lines Cut by a Transversal
78460,88944,1,Angles on Parallel Lines Cut by a Transversal
78460,88931,1,Angles on Parallel Lines Cut by a Transversal
78460,88940,1,Angles on Parallel Lines Cut by a Transversal
78460,88926,1,Angles on Parallel Lines Cut by a Transversal
78907,88941,1,Angles on Parallel Lines Cut by a Transversal
78911,88930,1,Angles on Parallel Lines Cut by a Transversal
78921,88926,1,Angles on Parallel Lines Cut by a Transversal
78922,88925,1,Angles on Parallel Lines Cut by a Transversal
78970,88937,1,Angles on Parallel Lines Cut by a Transversal
78978,88941,0,Angles on Parallel Lines Cut by a Transversal
78978,88925,1,Angles on Parallel Lines Cut by a Transversal
78984,88939,1,Angles on Parallel Lines Cut by a Transversal
78985,88942,1,Angles on Parallel Lines Cut by a Transversal
78989,88937,1,Angles on Parallel Lines Cut by a Transversal
78991,88934,1,Angles on Parallel Lines Cut by a Transversal
79016,88929,1,Angles on Parallel Lines Cut by a Transversal
