user_id,problem_id,correct,skill_name
71230,122530,0,Choose an Equation from Given Information
71230,122525,0,Choose an Equation from Given Information
79865,122524,1,Choose an Equation from Given Information
79865,122532,1,Choose an Equation from Given Information
79908,122524,1,Choose an Equation from Given Information
81446,166545,1,Choose an Equation from Given Information
81446,166552,1,Choose an Equation from Given Information
81446,166548,1,Choose an Equation from Given Information
81464,166550,1,Choose an Equation from Given Information
81464,166547,1,Choose an Equation from Given Information
81470,166386,0,Choose an Equation from Given Information
85685,166551,0,Choose an Equation from Given Information
85685,166554,1,Choose an Equation from Given Information
85687,166380,1,Choose an Equation from Given Information
85687,166387,1,Choose an Equation from Given Information
85687,166385,1,Choose an Equation from Given Information
85691,166552,1,Choose an Equation from Given Information
85691,166545,0,Choose an Equation from Given Information
85691,166553,1,Choose an Equation from Given Information
85693,166384,1,Choose an Equation from Given Information
85694,166387,1,Choose an Equation from Given Information
85696,166386,0,Choose an Equation from Given Information
85696,166382,1,Choose an Equation from Given Information
85696,166383,1,Choose an Equation from Given Information
85696,166380,1,Choose an Equation from Given Information
85698,166545,0,Choose an Equation from Given Information
85699,166389,1,Choose an Equation from Given Information
85699,166382,1,Choose an Equation from Given Information
85699,166381,1,Choose an Equation from Given Information
85701,166382,1,Choose an Equation from Given Information
85701,166382,1,Choose an Equation from Given Information
85714,166545,1,Choose an Equation from Given Information
85715,166548,1,Choose an Equation from Given Information
85715,166547,1,Choose an Equation from Given Information
85715,166549,1,Choose an Equation from Given Information
85716,166545,1,Choose an Equation from Given Information
85716,166548,1,Choose an Equation from Given Information
85717,166384,1,Choose an Equation from Given Information
85717,166387,1,Choose an Equation from Given Information
85720,166548,1,Choose an Equation from Given Information
85720,166545,1,Choose an Equation from Given Information
85722,166388,1,Choose an Equation from Given Information
85722,166382,1,Choose an Equation from Given Information
85722,166389,1,Choose an Equation from Given Information
85722,166383,1,Choose an Equation from Given Information
85724,166552,1,Choose an Equation from Given Information
85724,166549,1,Choose an Equation from Given Information
85725,166382,1,Choose an Equation from Given Information
85726,166380,1,Choose an Equation from Given Information
85727,166381,0,Choose an Equation from Given Information
85727,166380,1,Choose an Equation from Given Information
85727,166385,1,Choose an Equation from Given Information
85727,166383,1,Choose an Equation from Given Information
85729,166383,1,Choose an Equation from Given Information
85730,166381,0,Choose an Equation from Given Information
85730,166380,1,Choose an Equation from Given Information
85730,166387,1,Choose an Equation from Given Information
85730,166384,1,Choose an Equation from Given Information
86045,166381,0,Choose an Equation from Given Information
86045,166387,1,Choose an Equation from Given Information
90984,166382,1,Choose an Equation from Given Information
90984,166383,1,Choose an Equation from Given Information
90984,166389,1,Choose an Equation from Given Information
90986,166386,0,Choose an Equation from Given Information
90986,166381,1,Choose an Equation from Given Information
90986,166380,1,Choose an Equation from Given Information
90987,166384,1,Choose an Equation from Given Information
90988,166386,1,Choose an Equation from Given Information
90989,166384,1,Choose an Equation from Given Information
90989,166386,1,Choose an Equation from Given Information
90992,166386,1,Choose an Equation from Given Information
90992,166383,0,Choose an Equation from Given Information
90992,166387,1,Choose an Equation from Given Information
90993,166381,1,Choose an Equation from Given Information
90993,166386,1,Choose an Equation from Given Information
90994,166388,1,Choose an Equation from Given Information
90994,166387,1,Choose an Equation from Given Information
90995,166381,1,Choose an Equation from Given Information
90995,166382,1,Choose an Equation from Given Information
90996,166381,0,Choose an Equation from Given Information
90999,166384,1,Choose an Equation from Given Information
90999,166388,1,Choose an Equation from Given Information
90999,166381,1,Choose an Equation from Given Information
90999,166385,1,Choose an Equation from Given Information
91000,166387,0,Choose an Equation from Given Information
91000,166381,1,Choose an Equation from Given Information
91000,166383,0,Choose an Equation from Given Information
91000,166389,0,Choose an Equation from Given Information
91003,166386,1,Choose an Equation from Given Information
