user_id,problem_id,correct,skill_name
53167,87130,0,Division Fractions
53167,87048,1,Division Fractions
53167,87112,1,Division Fractions
53167,87051,1,Division Fractions
64525,87045,1,Division Fractions
64525,87128,1,Division Fractions
70676,87041,1,Division Fractions
70677,87034,1,Division Fractions
70677,87126,1,Division Fractions
70679,87033,0,Division Fractions
70679,87119,1,Division Fractions
70679,87024,1,Division Fractions
70679,87030,1,Division Fractions
70682,87041,1,Division Fractions
70682,87046,1,Division Fractions
70684,87108,1,Division Fractions
70687,87122,1,Division Fractions
70688,87078,1,Division Fractions
70688,87114,1,Division Fractions
70695,87116,1,Division Fractions
70695,87056,0,Division Fractions
70695,87089,1,Division Fractions
70701,87039,0,Division Fractions
70701,87037,0,Division Fractions
70701,87067,1,Division Fractions
70701,87056,1,Division Fractions
70701,87118,0,Division Fractions
70701,87087,1,Division Fractions
70701,87121,1,Division Fractions
70702,87111,1,Division Fractions
70702,87114,1,Division Fractions
70704,87042,1,Division Fractions
70704,87129,1,Division Fractions
70704,87125,0,Division Fractions
70704,87091,1,Division Fractions
70704,87061,1,Division Fractions
70706,87055,1,Division Fractions
70706,87113,1,Division Fractions
70706,87107,1,Division Fractions
70707,8463,1,Division Fractions
70707,87089,1,Division Fractions
70708,87129,1,Division Fractions
70708,87086,1,Division Fractions
70708,87127,1,Division Fractions
70708,87082,0,Division Fractions
70708,87120,0,Division Fractions
70708,87081,0,Division Fractions
70708,87025,0,Division Fractions
70708,87089,1,Division Fractions
70708,87062,1,Division Fractions
70709,87087,1,Division Fractions
70727,87055,1,Division Fractions
70727,87117,1,Division Fractions
70727,87047,1,Division Fractions
70727,87104,1,Division Fractions
70727,87127,0,Division Fractions
70728,87049,1,Division Fractions
70729,87129,0,Division Fractions
70729,87113,1,Division Fractions
70729,87056,1,Division Fractions
70729,8463,1,Division Fractions
70729,87038,0,Division Fractions
70729,87122,0,Division Fractions
70729,87064,0,Division Fractions
70729,87057,1,Division Fractions
70729,87072,1,Division Fractions
70729,87033,1,Division Fractions
70729,8462,1,Division Fractions
70729,87084,0,Division Fractions
70729,87053,0,Division Fractions
70730,87117,1,Division Fractions
70730,87071,1,Division Fractions
70731,87130,1,Division Fractions
70731,87109,1,Division Fractions
70731,87073,1,Division Fractions
70731,87032,0,Division Fractions
70731,87033,1,Division Fractions
70732,87044,0,Division Fractions
70733,87059,0,Division Fractions
70733,87025,1,Division Fractions
70733,87085,1,Division Fractions
70733,87089,0,Division Fractions
70733,87035,1,Division Fractions
70733,87028,1,Division Fractions
