user_id,problem_id,correct,skill_name
64525,71743,0,Effect of Changing Dimensions of a Shape Prportionally
64525,71735,0,Effect of Changing Dimensions of a Shape Prportionally
64525,71741,1,Effect of Changing Dimensions of a Shape Prportionally
64525,71746,1,Effect of Changing Dimensions of a Shape Prportionally
64525,71737,0,Effect of Changing Dimensions of a Shape Prportionally
64525,71745,1,Effect of Changing Dimensions of a Shape Prportionally
70707,71747,0,Effect of Changing Dimensions of a Shape Prportionally
70707,71751,1,Effect of Changing Dimensions of a Shape Prportionally
70707,71750,1,Effect of Changing Dimensions of a Shape Prportionally
70707,71740,1,Effect of Changing Dimensions of a Shape Prportionally
70746,71761,0,Effect of Changing Dimensions of a Shape Prportionally
70746,71763,0,Effect of Changing Dimensions of a Shape Prportionally
70746,71762,0,Effect of Changing Dimensions of a Shape Prportionally
71881,71747,1,Effect of Changing Dimensions of a Shape Prportionally
71881,71756,0,Effect of Changing Dimensions of a Shape Prportionally
71881,71763,1,Effect of Changing Dimensions of a Shape Prportionally
71881,71749,0,Effect of Changing Dimensions of a Shape Prportionally
71881,71741,0,Effect of Changing Dimensions of a Shape Prportionally
71881,71743,0,Effect of Changing Dimensions of a Shape Prportionally
71881,71764,1,Effect of Changing Dimensions of a Shape Prportionally
72059,71757,0,Effect of Changing Dimensions of a Shape Prportionally
72059,71765,1,Effect of Changing Dimensions of a Shape Prportionally
72059,71759,1,Effect of Changing Dimensions of a Shape Prportionally
72059,71743,1,Effect of Changing Dimensions of a Shape Prportionally
72378,71746,1,Effect of Changing Dimensions of a Shape Prportionally
73684,71753,0,Effect of Changing Dimensions of a Shape Prportionally
73684,71758,1,Effect of Changing Dimensions of a Shape Prportionally
73684,71751,1,Effect of Changing Dimensions of a Shape Prportionally
73684,71742,1,Effect of Changing Dimensions of a Shape Prportionally
75169,71754,1,Effect of Changing Dimensions of a Shape Prportionally
75169,71747,1,Effect of Changing Dimensions of a Shape Prportionally
75169,71764,1,Effect of Changing Dimensions of a Shape Prportionally
75169,71735,0,Effect of Changing Dimensions of a Shape Prportionally
75169,71743,0,Effect of Changing Dimensions of a Shape Prportionally
76685,71756,0,Effect of Changing Dimensions of a Shape Prportionally
76685,71764,0,Effect of Changing Dimensions of a Shape Prportionally
76685,71758,0,Effect of Changing Dimensions of a Shape Prportionally
78073,71751,0,Effect of Changing Dimensions of a Shape Prportionally
78073,71749,1,Effect of Changing Dimensions of a Shape Prportionally
78073,71756,0,Effect of Changing Dimensions of a Shape Prportionally
78073,71745,1,Effect of Changing Dimensions of a Shape Prportionally
78073,71747,1,Effect of Changing Dimensions of a Shape Prportionally
78073,71737,0,Effect of Changing Dimensions of a Shape Prportionally
78073,71735,1,Effect of Changing Dimensions of a Shape Prportionally
78073,71746,1,Effect of Changing Dimensions of a Shape Prportionally
78073,71743,1,Effect of Changing Dimensions of a Shape Prportionally
78673,71762,1,Effect of Changing Dimensions of a Shape Prportionally
78673,71744,0,Effect of Changing Dimensions of a Shape Prportionally
78673,71751,0,Effect of Changing Dimensions of a Shape Prportionally
78673,71760,0,Effect of Changing Dimensions of a Shape Prportionally
78673,71764,1,Effect of Changing Dimensions of a Shape Prportionally
78903,71756,0,Effect of Changing Dimensions of a Shape Prportionally
78903,71764,1,Effect of Changing Dimensions of a Shape Prportionally
78903,71744,1,Effect of Changing Dimensions of a Shape Prportionally
78903,71748,1,Effect of Changing Dimensions of a Shape Prportionally
78904,71764,0,Effect of Changing Dimensions of a Shape Prportionally
78904,71735,1,Effect of Changing Dimensions of a Shape Prportionally
78904,71747,1,Effect of Changing Dimensions of a Shape Prportionally
78904,71738,1,Effect of Changing Dimensions of a Shape Prportionally
78905,71747,0,Effect of Changing Dimensions of a Shape Prportionally
78905,71738,1,Effect of Changing Dimensions of a Shape Prportionally
78905,71754,1,Effect of Changing Dimensions of a Shape Prportionally
78905,71752,1,Effect of Changing Dimensions of a Shape Prportionally
78905,71749,1,Effect of Changing Dimensions of a Shape Prportionally
78905,71735,0,Effect of Changing Dimensions of a Shape Prportionally
78905,71756,0,Effect of Changing Dimensions of a Shape Prportionally
78905,71740,1,Effect of Changing Dimensions of a Shape Prportionally
78905,71743,1,Effect of Changing Dimensions of a Shape Prportionally
78906,71754,0,Effect of Changing Dimensions of a Shape Prportionally
78906,71765,0,Effect of Changing Dimensions of a Shape Prportionally
78906,71761,1,Effect of Changing Dimensions of a Shape Prportionally
78906,71749,1,Effect of Changing Dimensions of a Shape Prportionally
78906,71750,1,Effect of Changing Dimensions of a Shape Prportionally
78907,71756,1,Effect of Changing Dimensions of a Shape Prportionally
78908,71738,0,Effect of Changing Dimensions of a Shape Prportionally
78908,71751,0,Effect of Changing Dimensions of a Shape Prportionally
78908,71749,1,Effect of Changing Dimensions of a Shape Prportionally
78908,71735,1,Effect of Changing Dimensions of a Shape Prportionally
78908,71744,1,Effect of Changing Dimensions of a Shape Prportionally
78909,71757,1,Effect of Changing Dimensions of a Shape Prportionally
78909,71742,1,Effect of Changing Dimensions of a Shape Prportionally
78909,71749,0,Effect of Changing Dimensions of a Shape Prportionally
78909,71748,0,Effect of Changing Dimensions of a Shape Prportionally
78909,71764,1,Effect of Changing Dimensions of a Shape Prportionally
78910,71752,0,Effect of Changing Dimensions of a Shape Prportionally
78910,71747,0,Effect of Changing Dimensions of a Shape Prportionally
78910,71765,1,Effect of Changing Dimensions of a Shape Prportionally
78910,71740,1,Effect of Changing Dimensions of a Shape Prportionally
78910,71753,1,Effect of Changing Dimensions of a Shape Prportionally
78911,71756,1,Effect of Changing Dimensions of a Shape Prportionally
78911,71749,1,Effect of Changing Dimensions of a Shape Prportionally
78911,71762,1,Effect of Changing Dimensions of a Shape Prportionally
78911,71753,0,Effect of Changing Dimensions of a Shape Prportionally
78911,71748,1,Effect of Changing Dimensions of a Shape Prportionally
78911,71754,0,Effect of Changing Dimensions of a Shape Prportionally
78911,71752,1,Effect of Changing Dimensions of a Shape Prportionally
78911,71757,1,Effect of Changing Dimensions of a Shape Prportionally
78911,71763,0,Effect of Changing Dimensions of a Shape Prportionally
78911,71747,0,Effect of Changing Dimensions of a Shape Prportionally
78911,71737,0,Effect of Changing Dimensions of a Shape Prportionally
78911,71761,0,Effect of Changing Dimensions of a Shape Prportionally
78911,71735,0,Effect of Changing Dimensions of a Shape Prportionally
78911,71740,1,Effect of Changing Dimensions of a Shape Prportionally
78911,71760,1,Effect of Changing Dimensions of a Shape Prportionally
78911,71750,0,Effect of Changing Dimensions of a Shape Prportionally
78911,71739,0,Effect of Changing Dimensions of a Shape Prportionally
78911,71759,1,Effect of Changing Dimensions of a Shape Prportionally
78912,71735,1,Effect of Changing Dimensions of a Shape Prportionally
78912,71738,0,Effect of Changing Dimensions of a Shape Prportionally
78912,71744,1,Effect of Changing Dimensions of a Shape Prportionally
78912,71759,1,Effect of Changing Dimensions of a Shape Prportionally
78912,71746,0,Effect of Changing Dimensions of a Shape Prportionally
78912,71740,1,Effect of Changing Dimensions of a Shape Prportionally
78912,71736,1,Effect of Changing Dimensions of a Shape Prportionally
78913,71763,1,Effect of Changing Dimensions of a Shape Prportionally
78913,71750,1,Effect of Changing Dimensions of a Shape Prportionally
78913,71745,0,Effect of Changing Dimensions of a Shape Prportionally
78914,71761,0,Effect of Changing Dimensions of a Shape Prportionally
78914,71737,1,Effect of Changing Dimensions of a Shape Prportionally
78914,71763,1,Effect of Changing Dimensions of a Shape Prportionally
78914,71759,1,Effect of Changing Dimensions of a Shape Prportionally
78915,71739,0,Effect of Changing Dimensions of a Shape Prportionally
78915,71744,1,Effect of Changing Dimensions of a Shape Prportionally
78915,71763,1,Effect of Changing Dimensions of a Shape Prportionally
78915,71747,1,Effect of Changing Dimensions of a Shape Prportionally
78915,71738,1,Effect of Changing Dimensions of a Shape Prportionally
78915,71760,0,Effect of Changing Dimensions of a Shape Prportionally
78915,71741,0,Effect of Changing Dimensions of a Shape Prportionally
78915,71750,0,Effect of Changing Dimensions of a Shape Prportionally
78916,71747,0,Effect of Changing Dimensions of a Shape Prportionally
78916,71763,0,Effect of Changing Dimensions of a Shape Prportionally
78916,71759,1,Effect of Changing Dimensions of a Shape Prportionally
78916,71744,1,Effect of Changing Dimensions of a Shape Prportionally
78916,71762,1,Effect of Changing Dimensions of a Shape Prportionally
78917,71753,1,Effect of Changing Dimensions of a Shape Prportionally
78917,71741,1,Effect of Changing Dimensions of a Shape Prportionally
78917,71759,1,Effect of Changing Dimensions of a Shape Prportionally
78917,71743,0,Effect of Changing Dimensions of a Shape Prportionally
78918,71742,0,Effect of Changing Dimensions of a Shape Prportionally
78918,71750,0,Effect of Changing Dimensions of a Shape Prportionally
78918,71739,0,Effect of Changing Dimensions of a Shape Prportionally
78918,71760,0,Effect of Changing Dimensions of a Shape Prportionally
78918,71751,1,Effect of Changing Dimensions of a Shape Prportionally
78918,71740,0,Effect of Changing Dimensions of a Shape Prportionally
78918,71757,1,Effect of Changing Dimensions of a Shape Prportionally
