user_id,problem_id,correct,skill_name
53167,48130,1,Fraction Of
70363,48086,1,Fraction Of
70363,48162,1,Fraction Of
70701,48150,1,Fraction Of
70707,48070,1,Fraction Of
70732,48098,1,Fraction Of
70732,48130,1,Fraction Of
70734,48070,1,Fraction Of
70734,48146,1,Fraction Of
70748,48082,1,Fraction Of
70748,48146,1,Fraction Of
70756,48110,1,Fraction Of
70872,48166,1,Fraction Of
70872,48118,1,Fraction Of
70872,48150,1,Fraction Of
70872,48158,1,Fraction Of
71810,48126,1,Fraction Of
71824,48110,1,Fraction Of
71824,48154,1,Fraction Of
71831,48094,1,Fraction Of
71831,48162,1,Fraction Of
71872,48126,1,Fraction Of
72059,48150,1,Fraction Of
73684,48158,1,Fraction Of
73684,48070,1,Fraction Of
73684,48138,1,Fraction Of
74673,48054,1,Fraction Of
74673,48062,1,Fraction Of
74678,48146,1,Fraction Of
75169,48054,1,Fraction Of
75169,48062,0,Fraction Of
75169,48122,1,Fraction Of
75169,48090,1,Fraction Of
75169,48106,1,Fraction Of
75361,48170,0,Fraction Of
75361,48114,1,Fraction Of
77902,48058,1,Fraction Of
77990,48122,1,Fraction Of
77990,48114,1,Fraction Of
77991,48158,1,Fraction Of
77991,48170,1,Fraction Of
77993,48130,0,Fraction Of
77993,48086,1,Fraction Of
77993,48158,1,Fraction Of
77994,48066,1,Fraction Of
77994,48062,1,Fraction Of
77997,48086,0,Fraction Of
77997,48082,1,Fraction Of
77998,48142,1,Fraction Of
77999,48166,1,Fraction Of
78000,48098,1,Fraction Of
78000,48110,1,Fraction Of
78001,48154,1,Fraction Of
78001,48110,1,Fraction Of
78002,48086,1,Fraction Of
78003,48150,1,Fraction Of
78004,48094,1,Fraction Of
78004,48130,1,Fraction Of
78004,48126,1,Fraction Of
78006,48106,1,Fraction Of
78011,48154,1,Fraction Of
78012,48134,1,Fraction Of
78012,48090,1,Fraction Of
78012,48098,0,Fraction Of
78012,48158,0,Fraction Of
78013,48154,1,Fraction Of
78013,48106,1,Fraction Of
78016,48138,1,Fraction Of
78017,48122,1,Fraction Of
78017,48126,1,Fraction Of
78019,48166,1,Fraction Of
78019,48162,1,Fraction Of
78020,48134,1,Fraction Of
78020,48130,1,Fraction Of
78020,48150,0,Fraction Of
78022,48074,0,Fraction Of
78022,48082,1,Fraction Of
78023,48154,1,Fraction Of
78024,48114,1,Fraction Of
78026,48082,1,Fraction Of
78026,48094,1,Fraction Of
78027,48154,1,Fraction Of
78027,48142,1,Fraction Of
78028,48166,1,Fraction Of
78028,48154,1,Fraction Of
78030,48114,1,Fraction Of
78031,48086,0,Fraction Of
78031,48110,1,Fraction Of
78031,48134,1,Fraction Of
78032,48062,1,Fraction Of
78037,48162,1,Fraction Of
78037,48142,1,Fraction Of
78039,48106,1,Fraction Of
78040,48082,1,Fraction Of
78041,48142,1,Fraction Of
78043,48158,1,Fraction Of
78045,48090,1,Fraction Of
78045,48142,1,Fraction Of
78046,48066,1,Fraction Of
78048,48158,1,Fraction Of
78048,48070,1,Fraction Of
78048,48138,0,Fraction Of
78048,48166,1,Fraction Of
78051,48126,0,Fraction Of
78051,48094,1,Fraction Of
78051,48062,1,Fraction Of
78051,48066,1,Fraction Of
78052,48070,0,Fraction Of
78052,48162,1,Fraction Of
78061,48102,1,Fraction Of
78061,48098,1,Fraction Of
78062,48062,1,Fraction Of
78062,48122,1,Fraction Of
78073,48106,1,Fraction Of
78411,48058,0,Fraction Of
78411,48150,1,Fraction Of
78411,48082,1,Fraction Of
78411,48054,1,Fraction Of
78411,48110,1,Fraction Of
78411,48162,1,Fraction Of
78411,48146,1,Fraction Of
78412,48158,1,Fraction Of
78412,48086,1,Fraction Of
78413,48118,1,Fraction Of
78413,48142,1,Fraction Of
78413,48074,1,Fraction Of
78413,48070,1,Fraction Of
78415,48162,1,Fraction Of
78415,48110,1,Fraction Of
78415,48090,1,Fraction Of
78417,48138,0,Fraction Of
78417,48166,1,Fraction Of
78417,48170,1,Fraction Of
78418,48066,0,Fraction Of
78418,48062,1,Fraction Of
78418,48110,1,Fraction Of
78423,48122,1,Fraction Of
78423,48070,1,Fraction Of
78423,48082,1,Fraction Of
78446,48098,1,Fraction Of
78446,48086,1,Fraction Of
78446,48154,1,Fraction Of
78446,48062,0,Fraction Of
78446,48070,0,Fraction Of
78446,48138,1,Fraction Of
78447,48070,1,Fraction Of
78447,48158,1,Fraction Of
78447,48130,1,Fraction Of
78447,48122,0,Fraction Of
78447,48142,1,Fraction Of
78447,48154,0,Fraction Of
78447,48074,1,Fraction Of
78447,48162,1,Fraction Of
78447,48134,1,Fraction Of
78449,48058,1,Fraction Of
78449,48062,0,Fraction Of
78449,48106,1,Fraction Of
78449,48162,1,Fraction Of
78450,48106,1,Fraction Of
78450,48150,1,Fraction Of
78450,48166,1,Fraction Of
78450,48118,1,Fraction Of
78450,48130,1,Fraction Of
78450,48098,0,Fraction Of
78450,48154,1,Fraction Of
78452,48058,1,Fraction Of
78452,48106,1,Fraction Of
78452,48066,1,Fraction Of
78452,48122,1,Fraction Of
78452,48170,1,Fraction Of
78452,48054,1,Fraction Of
78452,48142,1,Fraction Of
78453,48170,0,Fraction Of
78453,48106,1,Fraction Of
78453,48094,1,Fraction Of
78453,48138,1,Fraction Of
78453,48166,0,Fraction Of
78454,48054,1,Fraction Of
78454,48102,1,Fraction Of
78454,48166,1,Fraction Of
78454,48150,1,Fraction Of
78454,48090,0,Fraction Of
78454,48086,1,Fraction Of
78454,48138,1,Fraction Of
78454,48126,1,Fraction Of
78454,48082,1,Fraction Of
78455,48158,1,Fraction Of
78455,48114,1,Fraction Of
78455,48066,1,Fraction Of
78455,48098,1,Fraction Of
78455,48130,0,Fraction Of
78455,48058,1,Fraction Of
78455,48110,1,Fraction Of
78455,48102,1,Fraction Of
78456,48082,0,Fraction Of
78456,48130,1,Fraction Of
78456,48114,1,Fraction Of
78456,48094,1,Fraction Of
78456,48066,1,Fraction Of
78457,48118,1,Fraction Of
78457,48162,0,Fraction Of
78457,48066,1,Fraction Of
78457,48106,1,Fraction Of
78457,48098,1,Fraction Of
78457,48114,1,Fraction Of
78457,48058,0,Fraction Of
78457,48094,1,Fraction Of
78457,48074,1,Fraction Of
78458,48074,1,Fraction Of
78458,48090,1,Fraction Of
78458,48058,1,Fraction Of
78458,48158,1,Fraction Of
