user_id,problem_id,correct,skill_name
71230,122530,0,Linear Equations
71230,122525,0,Linear Equations
79865,122524,1,Linear Equations
79865,122532,1,Linear Equations
79908,122524,1,Linear Equations
81446,166545,1,Linear Equations
81446,166552,1,Linear Equations
81446,166548,1,Linear Equations
81464,166550,1,Linear Equations
81464,166547,1,Linear Equations
81470,166386,0,Linear Equations
85685,166551,0,Linear Equations
85685,166554,1,Linear Equations
85687,166380,1,Linear Equations
85687,166387,1,Linear Equations
85687,166385,1,Linear Equations
85691,166552,1,Linear Equations
85691,166545,0,Linear Equations
85691,166553,1,Linear Equations
85693,166384,1,Linear Equations
85694,166387,1,Linear Equations
85696,166386,0,Linear Equations
85696,166382,1,Linear Equations
85696,166383,1,Linear Equations
85696,166380,1,Linear Equations
85698,166545,0,Linear Equations
85699,166389,1,Linear Equations
85699,166382,1,Linear Equations
85699,166381,1,Linear Equations
85701,166382,1,Linear Equations
85701,166382,1,Linear Equations
85714,166545,1,Linear Equations
85715,166548,1,Linear Equations
85715,166547,1,Linear Equations
85715,166549,1,Linear Equations
85716,166545,1,Linear Equations
85716,166548,1,Linear Equations
85717,166384,1,Linear Equations
85717,166387,1,Linear Equations
85720,166548,1,Linear Equations
85720,166545,1,Linear Equations
85722,166388,1,Linear Equations
85722,166382,1,Linear Equations
85722,166389,1,Linear Equations
85722,166383,1,Linear Equations
85724,166552,1,Linear Equations
85724,166549,1,Linear Equations
85725,166382,1,Linear Equations
85726,166380,1,Linear Equations
85727,166381,0,Linear Equations
85727,166380,1,Linear Equations
85727,166385,1,Linear Equations
85727,166383,1,Linear Equations
85729,166383,1,Linear Equations
85730,166381,0,Linear Equations
85730,166380,1,Linear Equations
85730,166387,1,Linear Equations
85730,166384,1,Linear Equations
86045,166381,0,Linear Equations
86045,166387,1,Linear Equations
90984,166382,1,Linear Equations
90984,166383,1,Linear Equations
90984,166389,1,Linear Equations
90986,166386,0,Linear Equations
90986,166381,1,Linear Equations
90986,166380,1,Linear Equations
90987,166384,1,Linear Equations
90988,166386,1,Linear Equations
90989,166384,1,Linear Equations
90989,166386,1,Linear Equations
90992,166386,1,Linear Equations
90992,166383,0,Linear Equations
90992,166387,1,Linear Equations
90993,166381,1,Linear Equations
90993,166386,1,Linear Equations
90994,166388,1,Linear Equations
90994,166387,1,Linear Equations
90995,166381,1,Linear Equations
90995,166382,1,Linear Equations
90996,166381,0,Linear Equations
90999,166384,1,Linear Equations
90999,166388,1,Linear Equations
90999,166381,1,Linear Equations
90999,166385,1,Linear Equations
91000,166387,0,Linear Equations
91000,166381,1,Linear Equations
91000,166383,0,Linear Equations
91000,166389,0,Linear Equations
91003,166386,1,Linear Equations
