user_id,problem_id,correct,skill_name
21825,48881,0,Mean
21825,49016,1,Mean
21825,49008,1,Mean
21825,49052,1,Mean
53167,91514,0,Mean
64525,48877,1,Mean
64525,49048,1,Mean
64525,58134,1,Mean
70363,49004,1,Mean
70363,48897,1,Mean
70363,57763,1,Mean
70363,58129,0,Mean
70363,57827,0,Mean
70363,48873,1,Mean
70363,49040,1,Mean
70363,58239,0,Mean
70363,57819,0,Mean
70677,58194,1,Mean
70677,57755,1,Mean
70677,58174,1,Mean
70677,58204,0,Mean
70677,49072,1,Mean
70677,49064,1,Mean
70677,49004,1,Mean
70677,49056,1,Mean
70679,58099,0,Mean
70679,49056,0,Mean
70679,49016,1,Mean
70679,49044,1,Mean
70679,48877,1,Mean
70679,57823,0,Mean
70684,48897,1,Mean
70684,49024,1,Mean
70684,49048,0,Mean
70684,49052,1,Mean
70688,49016,1,Mean
70695,49068,0,Mean
70695,48889,0,Mean
70695,48865,1,Mean
70695,48881,1,Mean
70695,91180,0,Mean
70699,50895,0,Mean
70699,93604,0,Mean
70699,91170,0,Mean
70699,93609,0,Mean
70699,93612,0,Mean
70701,48873,0,Mean
70701,48877,0,Mean
70701,49000,1,Mean
70701,49028,1,Mean
70701,49012,1,Mean
70707,91172,1,Mean
70707,57767,1,Mean
70707,49052,1,Mean
70707,48897,1,Mean
70728,58094,0,Mean
70728,50831,1,Mean
70728,48877,1,Mean
70729,49072,1,Mean
70729,48893,1,Mean
70729,49060,0,Mean
70729,49056,1,Mean
70729,49064,1,Mean
70729,48885,0,Mean
70729,48877,1,Mean
70733,48877,1,Mean
70733,49068,1,Mean
70745,49064,1,Mean
70745,48869,1,Mean
70746,48889,1,Mean
70746,49048,1,Mean
70746,91060,1,Mean
70750,58204,1,Mean
70750,57735,1,Mean
70750,58184,1,Mean
70756,91059,1,Mean
70756,91163,1,Mean
70756,49016,1,Mean
70756,48897,1,Mean
70759,57767,1,Mean
70759,49064,0,Mean
70759,49012,0,Mean
70759,49020,1,Mean
70759,49028,1,Mean
70759,49060,1,Mean
70759,57795,1,Mean
70816,91081,0,Mean
70872,49004,1,Mean
70872,49056,1,Mean
70872,48873,1,Mean
70872,49008,0,Mean
70872,49036,1,Mean
70872,48869,0,Mean
70872,91182,0,Mean
70872,91159,1,Mean
70874,49004,1,Mean
70874,49044,0,Mean
70874,49072,1,Mean
70874,49076,1,Mean
70874,49040,0,Mean
70874,91174,0,Mean
71066,91512,1,Mean
71066,91065,1,Mean
71066,91077,0,Mean
71066,91071,0,Mean
71175,91520,0,Mean
71176,49064,1,Mean
71176,48889,1,Mean
71177,49008,1,Mean
71177,49016,1,Mean
71177,91075,0,Mean
71179,58194,0,Mean
71179,58179,0,Mean
71179,49068,1,Mean
71179,49036,1,Mean
71179,49012,0,Mean
71183,49048,1,Mean
71183,49012,0,Mean
71183,49024,1,Mean
71183,48885,1,Mean
71183,49064,1,Mean
71183,58194,0,Mean
71185,91060,0,Mean
71187,48873,1,Mean
71187,49012,1,Mean
71190,57827,1,Mean
71190,91057,1,Mean
71190,49024,1,Mean
71190,48877,1,Mean
71191,57771,1,Mean
71191,58234,0,Mean
71193,91065,0,Mean
71193,91060,1,Mean
71198,49052,1,Mean
71198,48885,1,Mean
71205,91083,0,Mean
71205,93597,0,Mean
71205,48901,1,Mean
71205,48881,1,Mean
71211,49016,1,Mean
71211,49060,1,Mean
71212,49040,0,Mean
71212,49004,1,Mean
71212,49068,1,Mean
71212,49060,1,Mean
71221,58109,0,Mean
71221,93612,0,Mean
71221,58229,0,Mean
71221,91059,1,Mean
71221,48893,1,Mean
71221,48873,1,Mean
71221,58139,0,Mean
71224,58129,0,Mean
71224,49044,1,Mean
71224,49008,1,Mean
71224,93609,0,Mean
71224,93606,0,Mean
71225,48881,1,Mean
71225,91074,0,Mean
71225,49056,1,Mean
71227,48881,1,Mean
71227,49008,1,Mean
71227,91065,1,Mean
71230,48881,1,Mean
71230,49008,1,Mean
71230,93603,0,Mean
71231,49016,0,Mean
71231,48885,0,Mean
71232,58219,1,Mean
71232,49000,1,Mean
71232,49064,1,Mean
71234,91075,0,Mean
71234,91059,1,Mean
71234,91057,1,Mean
71234,49056,1,Mean
71234,49040,1,Mean
71250,57779,1,Mean
71250,57767,0,Mean
71250,57787,1,Mean
71250,49028,1,Mean
71250,49076,1,Mean
71250,57771,1,Mean
71809,49024,1,Mean
71809,48893,1,Mean
71809,49036,1,Mean
71809,48889,0,Mean
71821,57787,0,Mean
71821,49008,0,Mean
71821,49016,1,Mean
71821,49000,0,Mean
71821,48901,1,Mean
71821,48877,0,Mean
71826,57787,0,Mean
71826,58124,1,Mean
71826,58134,0,Mean
71826,49020,1,Mean
71826,49040,1,Mean
71826,48893,1,Mean
71826,49008,1,Mean
71826,49044,1,Mean
71830,58229,0,Mean
71830,49056,1,Mean
71830,48865,1,Mean
71831,91073,0,Mean
71831,49004,1,Mean
71831,48889,1,Mean
71831,58119,0,Mean
71831,91083,0,Mean
71831,50803,1,Mean
71831,50859,1,Mean
71831,49028,0,Mean
71831,48873,1,Mean
71831,49008,0,Mean
71831,48877,1,Mean
71831,57823,0,Mean
71874,57731,1,Mean
71874,91064,1,Mean
71874,57735,1,Mean
71874,49040,1,Mean
71874,48865,1,Mean
71874,91081,0,Mean
71877,58144,0,Mean
71877,57847,0,Mean
71881,49056,1,Mean
71881,48881,1,Mean
71883,91062,0,Mean
71883,91067,1,Mean
71883,91073,0,Mean
71883,91079,1,Mean
73684,48885,1,Mean
73684,49048,1,Mean
73684,49056,1,Mean
73684,50911,1,Mean
73684,50867,1,Mean
73684,49016,1,Mean
73684,50875,1,Mean
73962,48893,1,Mean
73962,49016,1,Mean
73962,91177,0,Mean
73962,57755,0,Mean
74698,48889,1,Mean
74698,49056,1,Mean
74698,48877,0,Mean
74704,49056,1,Mean
74704,49052,1,Mean
75169,91180,1,Mean
75169,48893,1,Mean
75169,57819,1,Mean
75169,58189,0,Mean
75169,49072,1,Mean
75169,49060,1,Mean
75169,48865,1,Mean
75169,49036,0,Mean
75169,49072,1,Mean
75169,48865,1,Mean
75169,48877,0,Mean
75169,48885,1,Mean
75169,57767,0,Mean
75361,50863,1,Mean
75361,50819,0,Mean
75361,48865,0,Mean
75361,48869,1,Mean
75361,48885,1,Mean
77902,50867,1,Mean
77902,50831,1,Mean
77902,50911,1,Mean
77902,58214,0,Mean
77902,50899,1,Mean
77902,50879,0,Mean
77954,91078,0,Mean
77954,91515,1,Mean
77962,91164,1,Mean
77962,91177,0,Mean
77962,91173,0,Mean
77962,91165,0,Mean
78034,49012,1,Mean
78034,48881,1,Mean
78035,49012,0,Mean
78035,93611,0,Mean
78035,49068,1,Mean
78035,49008,1,Mean
78035,48885,0,Mean
78035,48873,1,Mean
78035,49020,1,Mean
78035,49024,0,Mean
78035,48901,0,Mean
78035,49064,0,Mean
78035,48869,0,Mean
78035,48865,0,Mean
78037,93618,0,Mean
78037,49020,1,Mean
78037,48873,1,Mean
78038,48881,1,Mean
78038,48877,1,Mean
78039,93595,0,Mean
78039,49028,1,Mean
78039,49036,1,Mean
78039,93613,0,Mean
78039,93615,0,Mean
78039,48873,0,Mean
78039,49044,0,Mean
78039,49060,1,Mean
78039,49012,0,Mean
78039,93616,0,Mean
78040,49064,0,Mean
78040,49012,1,Mean
78040,49052,1,Mean
78040,49016,1,Mean
78041,93620,0,Mean
78041,49044,1,Mean
78041,49032,1,Mean
78041,93602,0,Mean
78041,93599,0,Mean
78042,49032,0,Mean
78042,49040,0,Mean
78043,93603,0,Mean
78043,93599,0,Mean
78043,93606,0,Mean
78043,49068,1,Mean
78043,49024,1,Mean
78044,49032,0,Mean
