user_id,problem_id,correct,skill_name
14,91522,0,Median
14,91144,0,Median
14,91124,0,Median
14,91127,0,Median
21825,56841,0,Median
21825,56871,1,Median
21825,56730,0,Median
53167,91535,1,Median
53167,56709,1,Median
53167,56823,0,Median
53167,56739,1,Median
53167,56847,0,Median
64525,51424,1,Median
64525,51435,1,Median
64525,91104,1,Median
64525,56874,1,Median
64525,56865,1,Median
70363,56880,1,Median
70363,51408,1,Median
70363,51395,1,Median
70363,56775,1,Median
70363,51444,0,Median
70363,56838,0,Median
70363,49110,1,Median
70363,49152,1,Median
70363,56823,1,Median
70677,56877,1,Median
70677,56760,0,Median
70677,56871,1,Median
70677,56868,1,Median
70677,91104,0,Median
70677,91108,0,Median
70677,51397,1,Median
70679,49128,1,Median
70679,49080,1,Median
70679,49113,1,Median
70679,49146,0,Median
70695,91214,1,Median
70695,91194,1,Median
70695,91570,1,Median
70695,56787,1,Median
70695,56739,1,Median
70695,51434,1,Median
70699,51430,1,Median
70699,56841,1,Median
70699,56757,0,Median
70699,51436,1,Median
70699,91190,0,Median
70699,56769,0,Median
70699,56874,1,Median
70699,56733,1,Median
70699,56856,0,Median
70699,56859,0,Median
70701,49122,1,Median
70701,49128,0,Median
70701,49107,1,Median
70701,49146,1,Median
70701,56871,0,Median
70701,56862,1,Median
70701,56769,0,Median
70707,56751,1,Median
70707,56883,0,Median
70707,56814,0,Median
70707,93485,1,Median
70707,91137,1,Median
70707,56811,1,Median
70707,56802,0,Median
70707,56781,1,Median
70707,51396,1,Median
70707,51421,1,Median
70707,56772,1,Median
70727,51408,1,Median
70727,51402,1,Median
70727,56793,1,Median
70727,56736,1,Median
70727,91200,1,Median
70729,91555,0,Median
70729,91222,0,Median
70729,51400,1,Median
70729,51425,0,Median
70730,51447,0,Median
70730,51433,1,Median
70730,51431,1,Median
70733,51392,0,Median
70733,51396,1,Median
70733,56727,1,Median
70733,56766,1,Median
70733,93485,1,Median
70736,51443,1,Median
70736,51409,1,Median
70736,51407,1,Median
70736,51399,1,Median
70736,51428,0,Median
70736,51431,1,Median
70745,56733,1,Median
70745,56838,1,Median
70746,51442,1,Median
70746,91115,0,Median
70746,91100,0,Median
70746,51401,1,Median
70746,56802,0,Median
70746,56850,0,Median
70746,56751,1,Median
70746,56856,0,Median
70750,49161,0,Median
70756,51416,1,Median
70756,51449,1,Median
70758,56712,1,Median
70758,56766,1,Median
70759,51412,1,Median
70759,49104,1,Median
70759,49131,1,Median
70759,49083,0,Median
70759,49122,1,Median
70816,56742,0,Median
70816,56868,0,Median
70816,56826,1,Median
70816,56823,0,Median
70816,56730,1,Median
70816,93472,0,Median
70816,93499,1,Median
70816,93493,1,Median
70872,51421,1,Median
70872,91223,1,Median
70872,91571,1,Median
70872,91192,1,Median
70872,91222,0,Median
70872,56793,1,Median
70872,56760,1,Median
70872,56739,1,Median
70872,56784,1,Median
70872,56889,0,Median
70872,91114,1,Median
70872,51429,1,Median
70874,91192,0,Median
70874,51408,1,Median
70874,51420,1,Median
70874,51426,0,Median
71066,91524,1,Median
71175,51426,0,Median
71175,51436,1,Median
71175,51420,1,Median
71175,51399,1,Median
71176,56712,1,Median
71176,56865,0,Median
71176,56835,1,Median
71176,56859,0,Median
71176,56841,1,Median
71176,51396,0,Median
71176,51414,1,Median
71176,51395,0,Median
71176,91093,1,Median
71177,51422,1,Median
71177,91537,1,Median
71177,91132,0,Median
71177,91146,1,Median
71177,91525,0,Median
71179,56724,1,Median
71179,56880,1,Median
71179,56823,1,Median
71179,51421,1,Median
71179,56727,1,Median
71179,51397,1,Median
71179,56853,0,Median
71183,93486,1,Median
71183,91126,1,Median
71183,51395,1,Median
71183,51401,1,Median
71185,91540,1,Median
71187,56778,1,Median
71187,56889,1,Median
71187,51429,1,Median
71187,51394,1,Median
71190,51424,1,Median
71190,51428,1,Median
71190,56826,1,Median
71190,56841,1,Median
71190,93472,1,Median
71191,91522,1,Median
71192,56880,0,Median
71193,91134,0,Median
71193,91111,0,Median
71193,91533,0,Median
71193,91535,0,Median
71193,56712,1,Median
71193,51400,1,Median
71193,56772,0,Median
71193,51405,1,Median
71198,56835,0,Median
71198,91152,1,Median
71205,51422,1,Median
71205,51442,1,Median
71209,51427,1,Median
71209,51413,1,Median
71211,51450,1,Median
71211,93491,1,Median
71212,56811,1,Median
71212,56874,1,Median
71212,51433,1,Median
71212,51428,1,Median
71212,91118,1,Median
71215,56745,1,Median
71221,56856,0,Median
71221,56820,1,Median
71221,91122,1,Median
71221,56832,1,Median
71221,56769,1,Median
71221,56850,0,Median
71221,56721,0,Median
71221,91143,0,Median
71221,91524,0,Median
71221,91138,0,Median
71221,91120,0,Median
71221,51434,1,Median
71221,51413,1,Median
71221,91522,0,Median
71224,56847,0,Median
71224,56781,0,Median
71224,56820,1,Median
71224,56760,1,Median
71224,56883,1,Median
71224,93486,1,Median
71225,91120,0,Median
71225,91146,0,Median
71225,91529,0,Median
71225,91538,0,Median
71225,91101,0,Median
71225,51420,1,Median
71225,51440,0,Median
71227,56820,1,Median
71227,56838,1,Median
71227,51430,0,Median
71230,51400,1,Median
71230,93484,1,Median
71230,56862,1,Median
71230,56847,1,Median
71230,51438,1,Median
71230,51426,0,Median
71230,51435,0,Median
71230,51409,1,Median
71230,51447,1,Median
71231,93495,0,Median
71231,51436,1,Median
71231,56754,1,Median
71231,56715,1,Median
71232,56751,1,Median
71232,56859,1,Median
71232,51433,1,Median
71234,91541,0,Median
71234,91531,0,Median
71234,56733,1,Median
71250,51419,1,Median
71250,51431,1,Median
71250,56769,1,Median
71250,56853,1,Median
71740,51418,1,Median
71809,56853,1,Median
71809,56757,1,Median
71809,56769,1,Median
71826,56784,0,Median
71826,56826,0,Median
71826,56802,0,Median
71826,56871,0,Median
71826,56736,0,Median
71826,56769,0,Median
71826,56757,0,Median
71826,56877,0,Median
71826,56754,0,Median
71826,56733,0,Median
71826,56724,0,Median
71826,56763,1,Median
71826,56748,1,Median
71826,51393,1,Median
71826,56793,0,Median
71826,51399,1,Median
71826,56811,0,Median
71826,51417,1,Median
71826,51407,1,Median
71831,56715,1,Median
71831,49161,1,Median
71831,49080,1,Median
71831,56814,1,Median
71831,56757,1,Median
71831,56844,0,Median
71831,56859,0,Median
71831,56784,1,Median
71831,56856,0,Median
71831,56769,1,Median
71831,51422,1,Median
