user_id,problem_id,correct,skill_name
53167,88556,0,Multiplication and Division Positive Decimals
53167,88537,1,Multiplication and Division Positive Decimals
53167,88507,1,Multiplication and Division Positive Decimals
53167,88617,1,Multiplication and Division Positive Decimals
64525,88521,1,Multiplication and Division Positive Decimals
64525,88624,1,Multiplication and Division Positive Decimals
64634,88514,0,Multiplication and Division Positive Decimals
64634,88541,0,Multiplication and Division Positive Decimals
70677,88547,1,Multiplication and Division Positive Decimals
70679,88557,1,Multiplication and Division Positive Decimals
70682,88519,1,Multiplication and Division Positive Decimals
70684,88608,1,Multiplication and Division Positive Decimals
70687,88524,1,Multiplication and Division Positive Decimals
70688,88603,1,Multiplication and Division Positive Decimals
70688,88540,1,Multiplication and Division Positive Decimals
70695,88516,1,Multiplication and Division Positive Decimals
70695,88590,1,Multiplication and Division Positive Decimals
70699,88510,1,Multiplication and Division Positive Decimals
70701,88612,0,Multiplication and Division Positive Decimals
70701,88626,1,Multiplication and Division Positive Decimals
70701,88506,0,Multiplication and Division Positive Decimals
70701,88627,1,Multiplication and Division Positive Decimals
70701,88520,1,Multiplication and Division Positive Decimals
70701,88593,1,Multiplication and Division Positive Decimals
70702,88551,1,Multiplication and Division Positive Decimals
70702,88605,1,Multiplication and Division Positive Decimals
70704,88522,1,Multiplication and Division Positive Decimals
70704,88510,1,Multiplication and Division Positive Decimals
70706,88516,1,Multiplication and Division Positive Decimals
70707,88605,1,Multiplication and Division Positive Decimals
70707,88533,1,Multiplication and Division Positive Decimals
70708,88547,1,Multiplication and Division Positive Decimals
70708,88503,1,Multiplication and Division Positive Decimals
70709,88515,1,Multiplication and Division Positive Decimals
70727,88516,1,Multiplication and Division Positive Decimals
70727,88545,0,Multiplication and Division Positive Decimals
70727,88526,1,Multiplication and Division Positive Decimals
70727,88627,1,Multiplication and Division Positive Decimals
70727,88503,1,Multiplication and Division Positive Decimals
70728,88500,1,Multiplication and Division Positive Decimals
70729,88551,1,Multiplication and Division Positive Decimals
