user_id,problem_id,correct,skill_name
53167,75299,1,Nets of 3D Figures
53167,75306,1,Nets of 3D Figures
64525,75281,1,Nets of 3D Figures
70702,75286,1,Nets of 3D Figures
70707,75292,1,Nets of 3D Figures
70707,75292,1,Nets of 3D Figures
70727,75282,1,Nets of 3D Figures
70727,75279,1,Nets of 3D Figures
70729,75293,1,Nets of 3D Figures
70729,75297,1,Nets of 3D Figures
70730,75300,1,Nets of 3D Figures
70732,75281,1,Nets of 3D Figures
70732,75282,1,Nets of 3D Figures
70733,75299,1,Nets of 3D Figures
70733,75284,1,Nets of 3D Figures
70734,75292,1,Nets of 3D Figures
70736,75290,1,Nets of 3D Figures
70740,75290,1,Nets of 3D Figures
70744,75302,1,Nets of 3D Figures
70745,75283,1,Nets of 3D Figures
70745,75303,1,Nets of 3D Figures
70746,75299,1,Nets of 3D Figures
70746,75303,1,Nets of 3D Figures
70746,75298,1,Nets of 3D Figures
70748,75287,1,Nets of 3D Figures
70756,75281,1,Nets of 3D Figures
70756,75284,1,Nets of 3D Figures
70816,75279,1,Nets of 3D Figures
70874,75307,1,Nets of 3D Figures
71740,75295,1,Nets of 3D Figures
71740,75307,1,Nets of 3D Figures
71807,75297,1,Nets of 3D Figures
71810,75290,1,Nets of 3D Figures
71824,75307,1,Nets of 3D Figures
71824,75281,1,Nets of 3D Figures
71826,75298,1,Nets of 3D Figures
71830,75298,1,Nets of 3D Figures
71831,75284,1,Nets of 3D Figures
71872,75298,1,Nets of 3D Figures
71873,75300,1,Nets of 3D Figures
71877,75285,1,Nets of 3D Figures
71881,75284,1,Nets of 3D Figures
71881,75306,1,Nets of 3D Figures
72880,75289,1,Nets of 3D Figures
73684,75287,1,Nets of 3D Figures
73684,75287,1,Nets of 3D Figures
73685,75278,1,Nets of 3D Figures
73685,75291,1,Nets of 3D Figures
74673,75298,1,Nets of 3D Figures
74678,75291,1,Nets of 3D Figures
74678,75286,1,Nets of 3D Figures
74698,75297,1,Nets of 3D Figures
74698,75283,1,Nets of 3D Figures
75169,75289,1,Nets of 3D Figures
75169,75278,1,Nets of 3D Figures
75169,75280,1,Nets of 3D Figures
78073,75305,1,Nets of 3D Figures
78673,75299,1,Nets of 3D Figures
78903,75300,1,Nets of 3D Figures
78904,75305,1,Nets of 3D Figures
78905,75281,1,Nets of 3D Figures
78906,75278,1,Nets of 3D Figures
78907,75299,1,Nets of 3D Figures
78908,75302,1,Nets of 3D Figures
78909,75307,1,Nets of 3D Figures
78910,75301,1,Nets of 3D Figures
78911,75301,1,Nets of 3D Figures
78912,75280,1,Nets of 3D Figures
78913,75293,1,Nets of 3D Figures
78914,75292,1,Nets of 3D Figures
78915,75300,1,Nets of 3D Figures
78916,75300,1,Nets of 3D Figures
78917,75283,1,Nets of 3D Figures
78918,75291,1,Nets of 3D Figures
78919,75300,1,Nets of 3D Figures
78920,75300,1,Nets of 3D Figures
78921,75279,1,Nets of 3D Figures
78922,75281,1,Nets of 3D Figures
78923,75299,1,Nets of 3D Figures
78926,75288,1,Nets of 3D Figures
78970,75288,1,Nets of 3D Figures
78972,75294,1,Nets of 3D Figures
78974,75286,1,Nets of 3D Figures
78976,75302,1,Nets of 3D Figures
78977,75281,1,Nets of 3D Figures
78978,75292,1,Nets of 3D Figures
78978,75283,1,Nets of 3D Figures
78978,75295,1,Nets of 3D Figures
78978,75300,0,Nets of 3D Figures
78980,75291,1,Nets of 3D Figures
78981,75296,1,Nets of 3D Figures
78982,75304,1,Nets of 3D Figures
78983,75303,1,Nets of 3D Figures
78984,75307,1,Nets of 3D Figures
78985,75283,1,Nets of 3D Figures
78988,75284,1,Nets of 3D Figures
78989,75296,1,Nets of 3D Figures
78990,75301,1,Nets of 3D Figures
78991,75304,1,Nets of 3D Figures
78992,75296,1,Nets of 3D Figures
79012,75294,1,Nets of 3D Figures
79013,75307,1,Nets of 3D Figures
79014,75282,1,Nets of 3D Figures
79014,75279,1,Nets of 3D Figures
79014,75285,1,Nets of 3D Figures
79014,75299,0,Nets of 3D Figures
79015,75283,1,Nets of 3D Figures
79016,75302,1,Nets of 3D Figures
79018,75305,1,Nets of 3D Figures
79019,75290,1,Nets of 3D Figures
79020,75307,1,Nets of 3D Figures
79021,75281,1,Nets of 3D Figures
79022,75293,1,Nets of 3D Figures
79023,75305,1,Nets of 3D Figures
79026,75295,1,Nets of 3D Figures
79027,75295,1,Nets of 3D Figures
79029,75301,1,Nets of 3D Figures
79031,75292,1,Nets of 3D Figures
79032,75285,1,Nets of 3D Figures
79033,75296,1,Nets of 3D Figures
79034,75297,1,Nets of 3D Figures
79034,75299,1,Nets of 3D Figures
79034,75286,0,Nets of 3D Figures
79034,75287,1,Nets of 3D Figures
79054,75292,1,Nets of 3D Figures
79055,75278,1,Nets of 3D Figures
79056,75299,1,Nets of 3D Figures
79057,75305,1,Nets of 3D Figures
79058,75305,1,Nets of 3D Figures
79059,75305,1,Nets of 3D Figures
79060,75295,1,Nets of 3D Figures
79061,75300,0,Nets of 3D Figures
79061,75307,1,Nets of 3D Figures
79061,75291,1,Nets of 3D Figures
79061,75306,1,Nets of 3D Figures
79062,75291,1,Nets of 3D Figures
79063,75305,1,Nets of 3D Figures
79064,75293,1,Nets of 3D Figures
79066,75300,1,Nets of 3D Figures
79067,75295,1,Nets of 3D Figures
79068,75301,1,Nets of 3D Figures
79069,75288,1,Nets of 3D Figures
79070,75290,1,Nets of 3D Figures
79071,75278,1,Nets of 3D Figures
79073,75288,1,Nets of 3D Figures
79074,75304,1,Nets of 3D Figures
79075,75307,1,Nets of 3D Figures
79217,75304,1,Nets of 3D Figures
79264,75298,1,Nets of 3D Figures
79272,75279,1,Nets of 3D Figures
79274,75301,1,Nets of 3D Figures
79278,75279,1,Nets of 3D Figures
79281,75278,0,Nets of 3D Figures
79281,75284,1,Nets of 3D Figures
79281,75292,1,Nets of 3D Figures
79281,75283,1,Nets of 3D Figures
79288,75306,1,Nets of 3D Figures
79289,75278,1,Nets of 3D Figures
79290,75293,0,Nets of 3D Figures
79290,75291,0,Nets of 3D Figures
79290,75286,0,Nets of 3D Figures
79290,75280,0,Nets of 3D Figures
79291,75298,1,Nets of 3D Figures
79300,75294,1,Nets of 3D Figures
79302,75298,1,Nets of 3D Figures
79310,75293,1,Nets of 3D Figures
79319,75288,1,Nets of 3D Figures
80807,75283,1,Nets of 3D Figures
80807,75307,1,Nets of 3D Figures
83169,75282,1,Nets of 3D Figures
83177,75278,1,Nets of 3D Figures
84385,75287,1,Nets of 3D Figures
84392,75287,1,Nets of 3D Figures
84611,75303,1,Nets of 3D Figures
84738,75290,1,Nets of 3D Figures
84739,75301,1,Nets of 3D Figures
84749,75297,1,Nets of 3D Figures
84793,75279,1,Nets of 3D Figures
85301,75280,1,Nets of 3D Figures
85308,75305,1,Nets of 3D Figures
85311,75283,1,Nets of 3D Figures
86844,75296,1,Nets of 3D Figures
86844,75292,1,Nets of 3D Figures
86844,75299,0,Nets of 3D Figures
86844,75298,1,Nets of 3D Figures
86844,75288,0,Nets of 3D Figures
87525,75303,1,Nets of 3D Figures
87758,75289,1,Nets of 3D Figures
87800,75286,1,Nets of 3D Figures
89987,75280,1,Nets of 3D Figures
90127,75285,1,Nets of 3D Figures
92301,75295,1,Nets of 3D Figures
96210,75305,1,Nets of 3D Figures
96211,75300,1,Nets of 3D Figures
96212,75305,1,Nets of 3D Figures
96213,75281,1,Nets of 3D Figures
96214,75278,1,Nets of 3D Figures
96215,75299,1,Nets of 3D Figures
96216,75302,1,Nets of 3D Figures
96217,75307,1,Nets of 3D Figures
96218,75301,1,Nets of 3D Figures
96219,75301,1,Nets of 3D Figures
96220,75280,1,Nets of 3D Figures
96221,75293,1,Nets of 3D Figures
96222,75292,1,Nets of 3D Figures
96223,75300,1,Nets of 3D Figures
96224,75300,1,Nets of 3D Figures
96225,75283,1,Nets of 3D Figures
96226,75291,1,Nets of 3D Figures
96227,75300,1,Nets of 3D Figures
96228,75300,1,Nets of 3D Figures
96229,75279,1,Nets of 3D Figures
96230,75281,1,Nets of 3D Figures
96231,75299,1,Nets of 3D Figures
96232,75288,1,Nets of 3D Figures
96235,75288,1,Nets of 3D Figures
96237,75294,1,Nets of 3D Figures
96239,75286,1,Nets of 3D Figures
96241,75302,1,Nets of 3D Figures
96242,75281,1,Nets of 3D Figures
96243,75295,1,Nets of 3D Figures
96243,75292,1,Nets of 3D Figures
96243,75300,0,Nets of 3D Figures
96243,75283,1,Nets of 3D Figures
96245,75291,1,Nets of 3D Figures
96246,75296,1,Nets of 3D Figures
96247,75304,1,Nets of 3D Figures
96248,75303,1,Nets of 3D Figures
96249,75307,1,Nets of 3D Figures
96250,75283,1,Nets of 3D Figures
96252,75284,1,Nets of 3D Figures
96253,75296,1,Nets of 3D Figures
96254,75301,1,Nets of 3D Figures
96255,75304,1,Nets of 3D Figures
96256,75296,1,Nets of 3D Figures
96257,75294,1,Nets of 3D Figures
96258,75307,1,Nets of 3D Figures
96259,75283,1,Nets of 3D Figures
96260,75302,1,Nets of 3D Figures
96262,75305,1,Nets of 3D Figures
96263,75290,1,Nets of 3D Figures
96264,75307,1,Nets of 3D Figures
96265,75281,1,Nets of 3D Figures
96266,75293,1,Nets of 3D Figures
96267,75305,1,Nets of 3D Figures
96269,75295,1,Nets of 3D Figures
96270,75295,1,Nets of 3D Figures
96271,75301,1,Nets of 3D Figures
96273,75292,1,Nets of 3D Figures
96274,75285,1,Nets of 3D Figures
96275,75296,1,Nets of 3D Figures
96276,75297,1,Nets of 3D Figures
96276,75299,1,Nets of 3D Figures
96276,75286,0,Nets of 3D Figures
96276,75287,1,Nets of 3D Figures
96277,75292,1,Nets of 3D Figures
96278,75278,1,Nets of 3D Figures
96279,75299,1,Nets of 3D Figures
96280,75305,1,Nets of 3D Figures
96281,75305,1,Nets of 3D Figures
96282,75305,1,Nets of 3D Figures
96283,75295,1,Nets of 3D Figures
96284,75300,0,Nets of 3D Figures
96284,75306,1,Nets of 3D Figures
96284,75307,1,Nets of 3D Figures
96284,75291,1,Nets of 3D Figures
96285,75291,1,Nets of 3D Figures
96286,75305,1,Nets of 3D Figures
96287,75293,1,Nets of 3D Figures
96288,75300,1,Nets of 3D Figures
96289,75295,1,Nets of 3D Figures
96290,75301,1,Nets of 3D Figures
96291,75288,1,Nets of 3D Figures
96292,75290,1,Nets of 3D Figures
96293,75278,1,Nets of 3D Figures
96294,75288,1,Nets of 3D Figures
96295,75304,1,Nets of 3D Figures
96296,75307,1,Nets of 3D Figures
96297,75304,1,Nets of 3D Figures
96298,75298,1,Nets of 3D Figures
