user_id,problem_id,correct,skill_name
53167,66813,0,"Order of Operations +,-,/,* () positive reals"
53167,66814,0,"Order of Operations +,-,/,* () positive reals"
53167,66815,1,"Order of Operations +,-,/,* () positive reals"
53167,66831,0,"Order of Operations +,-,/,* () positive reals"
53167,66832,0,"Order of Operations +,-,/,* () positive reals"
53167,66833,0,"Order of Operations +,-,/,* () positive reals"
53167,51144,1,"Order of Operations +,-,/,* () positive reals"
53167,66852,1,"Order of Operations +,-,/,* () positive reals"
53167,51141,1,"Order of Operations +,-,/,* () positive reals"
64525,66864,1,"Order of Operations +,-,/,* () positive reals"
64525,85110,1,"Order of Operations +,-,/,* () positive reals"
64525,51156,1,"Order of Operations +,-,/,* () positive reals"
64525,84605,1,"Order of Operations +,-,/,* () positive reals"
64525,66826,1,"Order of Operations +,-,/,* () positive reals"
64525,51186,1,"Order of Operations +,-,/,* () positive reals"
64525,66827,1,"Order of Operations +,-,/,* () positive reals"
64525,66825,0,"Order of Operations +,-,/,* () positive reals"
64525,66813,1,"Order of Operations +,-,/,* () positive reals"
70676,66819,1,"Order of Operations +,-,/,* () positive reals"
70677,66855,1,"Order of Operations +,-,/,* () positive reals"
70677,51144,1,"Order of Operations +,-,/,* () positive reals"
70677,66828,1,"Order of Operations +,-,/,* () positive reals"
70677,84602,1,"Order of Operations +,-,/,* () positive reals"
70677,66854,1,"Order of Operations +,-,/,* () positive reals"
70677,66853,0,"Order of Operations +,-,/,* () positive reals"
70677,66834,1,"Order of Operations +,-,/,* () positive reals"
70677,66852,0,"Order of Operations +,-,/,* () positive reals"
70682,66825,1,"Order of Operations +,-,/,* () positive reals"
70682,51162,1,"Order of Operations +,-,/,* () positive reals"
70682,66810,1,"Order of Operations +,-,/,* () positive reals"
70682,66862,1,"Order of Operations +,-,/,* () positive reals"
70682,66861,0,"Order of Operations +,-,/,* () positive reals"
70682,66863,1,"Order of Operations +,-,/,* () positive reals"
70687,66843,0,"Order of Operations +,-,/,* () positive reals"
70687,66844,0,"Order of Operations +,-,/,* () positive reals"
70695,84984,1,"Order of Operations +,-,/,* () positive reals"
70695,66846,0,"Order of Operations +,-,/,* () positive reals"
70695,66847,0,"Order of Operations +,-,/,* () positive reals"
70695,84597,1,"Order of Operations +,-,/,* () positive reals"
70695,84596,1,"Order of Operations +,-,/,* () positive reals"
70695,84608,1,"Order of Operations +,-,/,* () positive reals"
70695,66829,1,"Order of Operations +,-,/,* () positive reals"
70695,51147,1,"Order of Operations +,-,/,* () positive reals"
70695,66789,1,"Order of Operations +,-,/,* () positive reals"
70695,51153,1,"Order of Operations +,-,/,* () positive reals"
70695,66830,1,"Order of Operations +,-,/,* () positive reals"
70695,66828,0,"Order of Operations +,-,/,* () positive reals"
70695,84599,0,"Order of Operations +,-,/,* () positive reals"
70699,51186,1,"Order of Operations +,-,/,* () positive reals"
70699,51204,1,"Order of Operations +,-,/,* () positive reals"
70699,51156,1,"Order of Operations +,-,/,* () positive reals"
70699,84618,1,"Order of Operations +,-,/,* () positive reals"
70699,66796,1,"Order of Operations +,-,/,* () positive reals"
70699,66797,0,"Order of Operations +,-,/,* () positive reals"
70699,66795,0,"Order of Operations +,-,/,* () positive reals"
