user_id,problem_id,correct,skill_name
14,93383,0,Percent Of
14,93407,1,Percent Of
14,93400,0,Percent Of
14,93419,0,Percent Of
14,93420,0,Percent Of
14,93415,0,Percent Of
53167,71355,1,Percent Of
53167,85101,1,Percent Of
53167,85660,1,Percent Of
53167,85669,0,Percent Of
53167,85676,0,Percent Of
53167,85659,1,Percent Of
64525,47090,1,Percent Of
64525,46800,1,Percent Of
64525,46854,1,Percent Of
64525,46794,1,Percent Of
64525,46872,0,Percent Of
64525,46827,0,Percent Of
64525,46920,1,Percent Of
64525,46899,1,Percent Of
64525,47117,1,Percent Of
64525,92327,1,Percent Of
64525,94900,1,Percent Of
64525,71347,1,Percent Of
64525,86118,1,Percent Of
64525,92335,1,Percent Of
64525,94868,0,Percent Of
64525,92320,1,Percent Of
64525,71352,1,Percent Of
64525,86102,1,Percent Of
70363,46806,0,Percent Of
70363,47108,1,Percent Of
70363,46845,0,Percent Of
70363,46842,1,Percent Of
70363,46860,1,Percent Of
70363,46854,1,Percent Of
70363,46830,0,Percent Of
70363,46914,1,Percent Of
70363,46824,1,Percent Of
70363,46815,1,Percent Of
70363,46854,0,Percent Of
70363,46935,1,Percent Of
70363,46950,1,Percent Of
70363,46797,0,Percent Of
70363,46803,0,Percent Of
70363,46923,0,Percent Of
70363,46899,0,Percent Of
70363,46929,1,Percent Of
70363,46926,0,Percent Of
70363,47081,0,Percent Of
70363,47044,0,Percent Of
70363,46851,0,Percent Of
70363,46938,0,Percent Of
70363,47068,0,Percent Of
70677,46824,1,Percent Of
70677,46872,1,Percent Of
70677,46815,1,Percent Of
70677,46797,0,Percent Of
70677,46854,1,Percent Of
70677,46812,1,Percent Of
70677,71360,1,Percent Of
70677,46833,1,Percent Of
70677,47045,0,Percent Of
70677,46812,1,Percent Of
70677,46824,1,Percent Of
70677,46971,1,Percent Of
70677,46794,1,Percent Of
70677,71361,0,Percent Of
70677,85106,1,Percent Of
70677,71348,1,Percent Of
70679,85097,1,Percent Of
70682,71360,1,Percent Of
70682,71344,1,Percent Of
70682,71341,1,Percent Of
70682,71363,0,Percent Of
70682,85650,1,Percent Of
70682,86122,1,Percent Of
70682,85662,1,Percent Of
70682,84704,0,Percent Of
70682,84624,0,Percent Of
70682,86117,0,Percent Of
70684,84619,0,Percent Of
70684,85672,0,Percent Of
70684,85650,1,Percent Of
70684,86103,1,Percent Of
70684,84625,1,Percent Of
70687,71355,1,Percent Of
70687,71364,1,Percent Of
70687,71362,1,Percent Of
70687,85096,0,Percent Of
70687,71368,0,Percent Of
70688,84622,0,Percent Of
70688,84702,1,Percent Of
70688,86101,1,Percent Of
70688,86104,1,Percent Of
70688,85649,0,Percent Of
70688,86123,1,Percent Of
70688,85101,1,Percent Of
70688,85660,1,Percent Of
70695,71347,1,Percent Of
70695,86122,0,Percent Of
70695,84625,0,Percent Of
70699,86097,0,Percent Of
70699,85106,0,Percent Of
70699,93399,0,Percent Of
70699,93405,0,Percent Of
70699,93388,0,Percent Of
70701,85658,1,Percent Of
70701,71344,1,Percent Of
70702,71352,0,Percent Of
70702,94865,1,Percent Of
70702,92345,0,Percent Of
70702,71353,1,Percent Of
70702,71364,1,Percent Of
70702,71367,1,Percent Of
70702,85671,1,Percent Of
70702,85107,0,Percent Of
70702,94866,1,Percent Of
70702,92334,1,Percent Of
70702,71362,1,Percent Of
70702,85100,1,Percent Of
70702,85096,1,Percent Of
70702,85654,1,Percent Of
70702,94898,1,Percent Of
70704,92318,1,Percent Of
70704,71356,1,Percent Of
70704,71341,1,Percent Of
70704,71364,1,Percent Of
70704,94899,1,Percent Of
70704,85106,1,Percent Of
70704,92343,1,Percent Of
70704,71352,0,Percent Of
70704,71355,1,Percent Of
70704,85089,1,Percent Of
70704,84622,1,Percent Of
70704,84620,1,Percent Of
70704,85099,0,Percent Of
70704,85664,0,Percent Of
70704,94880,1,Percent Of
70706,71344,1,Percent Of
70706,71350,1,Percent Of
70706,71342,1,Percent Of
70706,71347,0,Percent Of
70706,85659,1,Percent Of
70707,46803,1,Percent Of
70707,47064,1,Percent Of
70707,46824,1,Percent Of
70707,46830,1,Percent Of
70707,93393,0,Percent Of
70707,94879,1,Percent Of
70707,94887,1,Percent Of
70707,46863,1,Percent Of
70707,71360,1,Percent Of
70707,85090,1,Percent Of
70707,94883,1,Percent Of
70707,92323,1,Percent Of
70707,71350,1,Percent Of
70707,85096,1,Percent Of
70707,92350,1,Percent Of
70708,71362,1,Percent Of
70708,84626,1,Percent Of
70708,94884,1,Percent Of
