user_id,problem_id,correct,skill_name
53167,88021,1,Prime Number
64525,87966,1,Prime Number
64525,88082,0,Prime Number
64525,88075,1,Prime Number
64525,91466,0,Prime Number
64525,88070,1,Prime Number
64525,88087,1,Prime Number
64525,88066,1,Prime Number
70677,87962,1,Prime Number
70677,88024,1,Prime Number
70677,88087,1,Prime Number
70677,87980,0,Prime Number
70677,88078,1,Prime Number
70682,87999,1,Prime Number
70701,88043,1,Prime Number
70702,88022,1,Prime Number
70702,87986,1,Prime Number
70704,88065,1,Prime Number
70704,88050,1,Prime Number
70706,91466,1,Prime Number
70706,88059,1,Prime Number
70706,88053,1,Prime Number
70706,88042,0,Prime Number
70707,87968,0,Prime Number
70707,91467,1,Prime Number
70707,88058,1,Prime Number
70707,91472,1,Prime Number
70707,87988,0,Prime Number
70707,91469,1,Prime Number
70707,87967,1,Prime Number
70707,88007,1,Prime Number
70708,87964,1,Prime Number
70727,88079,1,Prime Number
70727,88076,0,Prime Number
70727,91471,1,Prime Number
70727,88025,1,Prime Number
70727,88072,1,Prime Number
70728,87981,1,Prime Number
70729,88055,1,Prime Number
70729,88000,1,Prime Number
70729,88002,1,Prime Number
70729,88019,0,Prime Number
70729,88036,0,Prime Number
70729,88047,0,Prime Number
70729,88024,1,Prime Number
70729,88027,1,Prime Number
70730,88050,0,Prime Number
70730,88022,1,Prime Number
70730,88066,0,Prime Number
70730,88046,1,Prime Number
70730,91475,1,Prime Number
70730,88045,1,Prime Number
70730,87966,0,Prime Number
70730,91473,0,Prime Number
70730,87980,1,Prime Number
70730,88020,1,Prime Number
70730,91466,1,Prime Number
70731,88021,1,Prime Number
70731,88027,1,Prime Number
70731,88085,0,Prime Number
70731,88000,1,Prime Number
70732,87979,1,Prime Number
70733,88086,1,Prime Number
70733,87985,1,Prime Number
70736,87988,1,Prime Number
70736,88075,1,Prime Number
70736,87982,0,Prime Number
70736,88026,1,Prime Number
70736,87962,1,Prime Number
70736,88088,0,Prime Number
70736,88044,1,Prime Number
70740,87959,1,Prime Number
70740,88059,0,Prime Number
70740,88043,1,Prime Number
70740,87986,0,Prime Number
70740,88007,1,Prime Number
70740,88082,1,Prime Number
70744,87982,1,Prime Number
70744,88060,1,Prime Number
70744,88006,0,Prime Number
70744,91475,1,Prime Number
70745,88019,0,Prime Number
70745,87984,1,Prime Number
70745,88072,0,Prime Number
70745,87953,1,Prime Number
70745,87980,1,Prime Number
70745,88006,1,Prime Number
70746,88049,1,Prime Number
70746,88065,1,Prime Number
70746,88073,0,Prime Number
70746,88057,1,Prime Number
70746,88080,1,Prime Number
70756,88071,1,Prime Number
70756,91468,1,Prime Number
70756,88004,0,Prime Number
70756,88082,1,Prime Number
70756,87999,1,Prime Number
70816,87980,1,Prime Number
70874,87982,1,Prime Number
71740,87965,0,Prime Number
71740,87963,1,Prime Number
71740,88067,1,Prime Number
71740,88053,1,Prime Number
71740,87966,0,Prime Number
71740,88055,1,Prime Number
71740,88045,1,Prime Number
71740,88039,1,Prime Number
71810,88023,1,Prime Number
71810,91467,1,Prime Number
71810,91472,0,Prime Number
71810,88083,1,Prime Number
71810,88007,1,Prime Number
71810,88064,1,Prime Number
71810,88072,0,Prime Number
71810,91473,0,Prime Number
71830,91466,1,Prime Number
71830,88077,1,Prime Number
71830,91470,0,Prime Number
71830,88067,1,Prime Number
71830,88048,0,Prime Number
71830,88046,0,Prime Number
71830,87966,1,Prime Number
71831,87965,0,Prime Number
71831,88003,0,Prime Number
71831,87986,1,Prime Number
71831,88069,1,Prime Number
71831,88042,1,Prime Number
71831,88033,1,Prime Number
71872,88003,1,Prime Number
71873,87956,1,Prime Number
71881,88004,0,Prime Number
71881,88039,1,Prime Number
71881,91466,1,Prime Number
71881,88074,1,Prime Number
71881,88006,1,Prime Number
71907,88001,1,Prime Number
71907,88044,1,Prime Number
71907,88020,0,Prime Number
71907,91471,1,Prime Number
71907,88004,1,Prime Number
71907,88088,1,Prime Number
71907,88023,0,Prime Number
71907,87956,1,Prime Number
72059,88045,1,Prime Number
72378,88087,1,Prime Number
73684,88066,1,Prime Number
73684,88081,1,Prime Number
73685,88061,1,Prime Number
73685,88067,1,Prime Number
73685,88081,1,Prime Number
73685,91470,1,Prime Number
73685,88039,1,Prime Number
73685,91468,0,Prime Number
73685,88083,0,Prime Number
73962,88066,1,Prime Number
73962,88033,0,Prime Number
73962,88087,1,Prime Number
73962,88088,1,Prime Number
73962,88028,1,Prime Number
73962,87965,0,Prime Number
73962,88072,1,Prime Number
73962,91467,1,Prime Number
74384,87983,1,Prime Number
74673,88022,1,Prime Number
74676,88087,1,Prime Number
74678,87986,1,Prime Number
74678,88086,0,Prime Number
74678,88074,1,Prime Number
74678,88088,1,Prime Number
74678,88061,1,Prime Number
74698,88044,0,Prime Number
74698,87964,1,Prime Number
74698,88039,1,Prime Number
74698,87956,1,Prime Number
75169,88082,1,Prime Number
75169,88061,1,Prime Number
75169,91474,0,Prime Number
75169,87980,0,Prime Number
75169,88048,1,Prime Number
75169,91473,1,Prime Number
75169,87967,1,Prime Number
75169,88077,0,Prime Number
75169,88022,0,Prime Number
75169,88039,1,Prime Number
78647,88079,0,Prime Number
78673,88074,1,Prime Number
78673,88069,1,Prime Number
78673,88042,1,Prime Number
78673,88025,1,Prime Number
78673,88006,0,Prime Number
78673,88061,1,Prime Number
78673,88055,0,Prime Number
78673,88007,0,Prime Number
78980,88039,1,Prime Number
79319,88059,1,Prime Number
79319,88084,1,Prime Number
79606,88024,1,Prime Number
79608,88047,0,Prime Number
79609,88069,1,Prime Number
79609,87983,1,Prime Number
79609,88045,1,Prime Number
79609,88022,0,Prime Number
79609,88023,0,Prime Number
79610,88061,0,Prime Number
79610,88059,1,Prime Number
79610,88085,1,Prime Number
79610,88082,1,Prime Number
79611,88085,0,Prime Number
79613,87967,1,Prime Number
79614,88025,1,Prime Number
79614,91467,1,Prime Number
79614,88027,1,Prime Number
79614,87999,1,Prime Number
79614,88019,0,Prime Number
79614,88004,0,Prime Number
79615,91474,1,Prime Number
79616,88065,1,Prime Number
79616,87987,0,Prime Number
79616,88033,0,Prime Number
79616,88004,1,Prime Number
79617,91474,1,Prime Number
79618,88059,1,Prime Number
79619,88022,0,Prime Number
79619,88019,0,Prime Number
79619,87987,0,Prime Number
79619,91474,1,Prime Number
79619,88082,1,Prime Number
79619,87983,0,Prime Number
79619,91467,1,Prime Number
79619,88057,1,Prime Number
79620,88020,1,Prime Number
79621,91474,1,Prime Number
79621,88053,1,Prime Number
79621,87963,0,Prime Number
79621,88051,0,Prime Number
79621,88001,1,Prime Number
79622,88070,1,Prime Number
79623,87988,1,Prime Number
79623,88021,0,Prime Number
79623,88076,0,Prime Number
79623,88074,0,Prime Number
79623,88085,1,Prime Number
79623,88008,1,Prime Number
79625,88082,1,Prime Number
79626,88024,0,Prime Number
79626,88068,0,Prime Number
79626,87967,1,Prime Number
79626,87965,1,Prime Number
79626,87963,1,Prime Number
79627,91474,1,Prime Number
79632,87980,1,Prime Number
79661,88071,1,Prime Number
79661,87999,1,Prime Number
79661,88068,1,Prime Number
79661,88048,0,Prime Number
79662,88024,0,Prime Number
79662,91467,1,Prime Number
79662,88066,1,Prime Number
79662,88087,1,Prime Number
79663,88042,1,Prime Number
79664,87966,1,Prime Number
79664,87988,1,Prime Number
79664,88048,0,Prime Number
79664,88075,1,Prime Number
79665,88026,0,Prime Number
79665,88001,1,Prime Number
79665,87980,1,Prime Number
79665,88058,1,Prime Number
79666,88002,1,Prime Number
79667,88001,1,Prime Number
79667,87982,1,Prime Number
79667,88006,1,Prime Number
79667,88063,0,Prime Number
79667,87981,0,Prime Number
79667,91475,0,Prime Number
79667,87963,0,Prime Number
79667,88026,0,Prime Number
79668,88073,1,Prime Number
79669,88082,1,Prime Number
79669,87968,0,Prime Number
79669,88024,0,Prime Number
79669,88069,1,Prime Number
79669,88076,1,Prime Number
79670,87980,1,Prime Number
79671,88045,0,Prime Number
79672,87962,0,Prime Number
79672,88069,1,Prime Number
79672,88083,0,Prime Number
79672,91466,1,Prime Number
79672,87980,1,Prime Number
79672,88054,1,Prime Number
79673,88043,1,Prime Number
79673,88051,1,Prime Number
79673,88000,0,Prime Number
79673,87963,1,Prime Number
79674,87988,1,Prime Number
79675,88085,0,Prime Number
79675,87964,1,Prime Number
79675,88047,1,Prime Number
79675,87979,1,Prime Number
79678,88024,1,Prime Number
79680,88078,1,Prime Number
79681,88073,1,Prime Number
79682,87959,1,Prime Number
79683,87981,1,Prime Number
79686,88006,1,Prime Number
79686,91471,1,Prime Number
79686,91473,1,Prime Number
79686,87983,1,Prime Number
79686,88054,1,Prime Number
79686,88027,1,Prime Number
79686,91470,1,Prime Number
79686,88023,1,Prime Number
79686,88049,1,Prime Number
79686,87984,1,Prime Number
79687,88023,1,Prime Number
79687,88085,1,Prime Number
79687,88043,1,Prime Number
79687,88088,1,Prime Number
79687,91472,1,Prime Number
79687,88055,1,Prime Number
79687,87965,1,Prime Number
79687,88062,1,Prime Number
79687,87964,1,Prime Number
79687,87988,1,Prime Number
79687,88022,1,Prime Number
79687,91473,1,Prime Number
79687,87962,1,Prime Number
79687,88075,0,Prime Number
79687,88052,1,Prime Number
79687,88050,1,Prime Number
79687,88046,0,Prime Number
79687,88020,1,Prime Number
79687,87968,0,Prime Number
79687,88061,0,Prime Number
79687,87959,0,Prime Number
79688,88054,1,Prime Number
79688,87988,1,Prime Number
79688,88065,1,Prime Number
79688,87985,1,Prime Number
79688,87966,1,Prime Number
79688,88070,1,Prime Number
79688,88078,1,Prime Number
79688,88068,1,Prime Number
79688,91467,1,Prime Number
79688,88027,1,Prime Number
79689,88072,1,Prime Number
79689,87988,1,Prime Number
79689,88081,1,Prime Number
79689,87959,1,Prime Number
79689,88026,1,Prime Number
79689,91468,1,Prime Number
79689,88075,0,Prime Number
79689,88052,1,Prime Number
79689,88003,1,Prime Number
79689,91474,1,Prime Number
79689,88056,0,Prime Number
79689,88057,1,Prime Number
79690,88002,1,Prime Number
79690,91472,1,Prime Number
79690,88043,1,Prime Number
79690,88046,1,Prime Number
79690,88023,1,Prime Number
79690,87983,1,Prime Number
79690,87979,1,Prime Number
79690,87981,1,Prime Number
79690,88045,1,Prime Number
79690,87999,1,Prime Number
79690,88000,0,Prime Number
79690,88064,1,Prime Number
79690,91471,1,Prime Number
79690,88055,1,Prime Number
79690,88088,1,Prime Number
79690,88085,1,Prime Number
79690,88075,1,Prime Number
79690,88066,1,Prime Number
79691,88045,1,Prime Number
79691,88000,1,Prime Number
79691,88063,1,Prime Number
79691,87987,1,Prime Number
79691,88054,1,Prime Number
79691,88052,1,Prime Number
79691,87953,1,Prime Number
79691,88002,1,Prime Number
79691,88079,1,Prime Number
79691,88020,0,Prime Number
79691,88067,1,Prime Number
79692,91468,1,Prime Number
79692,88005,1,Prime Number
79692,88039,1,Prime Number
79692,87986,1,Prime Number
79692,87956,1,Prime Number
79692,87953,1,Prime Number
79692,88054,1,Prime Number
79692,88062,1,Prime Number
79692,87983,1,Prime Number
79692,87985,1,Prime Number
79693,88007,1,Prime Number
79693,88071,1,Prime Number
79693,88060,1,Prime Number
79693,88063,1,Prime Number
79693,88069,1,Prime Number
79693,88057,1,Prime Number
79693,88056,1,Prime Number
79693,87964,1,Prime Number
79693,88047,1,Prime Number
79693,88049,1,Prime Number
79695,87968,1,Prime Number
79695,87979,1,Prime Number
79695,88067,1,Prime Number
79695,88008,1,Prime Number
79695,87966,1,Prime Number
79695,88045,1,Prime Number
79695,88087,1,Prime Number
79695,88081,1,Prime Number
79695,88036,1,Prime Number
79695,88049,0,Prime Number
79695,88079,1,Prime Number
79697,88068,1,Prime Number
79697,88006,1,Prime Number
79697,88026,1,Prime Number
79697,87983,1,Prime Number
79697,88073,1,Prime Number
79697,88049,1,Prime Number
79697,88061,1,Prime Number
79697,88058,1,Prime Number
79697,87980,1,Prime Number
79697,88067,1,Prime Number
79698,87984,1,Prime Number
79698,88073,1,Prime Number
79698,88020,1,Prime Number
79698,88082,1,Prime Number
79698,87953,1,Prime Number
79698,88047,1,Prime Number
79698,88039,1,Prime Number
79698,88049,1,Prime Number
79698,88076,1,Prime Number
79698,88077,0,Prime Number
79698,88071,1,Prime Number
