user_id,problem_id,correct,skill_name
53167,55045,1,Solving for a variable
64525,55156,1,Solving for a variable
64525,55279,1,Solving for a variable
70190,55104,0,Solving for a variable
70190,55065,1,Solving for a variable
70190,55083,0,Solving for a variable
70363,55168,1,Solving for a variable
70363,55141,1,Solving for a variable
70363,55142,0,Solving for a variable
70363,55178,0,Solving for a variable
70363,55260,0,Solving for a variable
70363,55213,0,Solving for a variable
70363,55204,0,Solving for a variable
70363,55054,1,Solving for a variable
70363,55079,1,Solving for a variable
70363,55084,0,Solving for a variable
70363,55048,1,Solving for a variable
70363,55044,0,Solving for a variable
70363,55296,0,Solving for a variable
70677,55294,1,Solving for a variable
70677,55325,0,Solving for a variable
70677,55291,0,Solving for a variable
70677,55190,0,Solving for a variable
70677,55265,0,Solving for a variable
70677,57281,1,Solving for a variable
70677,55063,1,Solving for a variable
70677,55067,1,Solving for a variable
70682,55109,1,Solving for a variable
70707,55155,1,Solving for a variable
70707,55302,1,Solving for a variable
70707,55071,1,Solving for a variable
70707,55273,1,Solving for a variable
70727,55042,0,Solving for a variable
70727,55158,1,Solving for a variable
70727,55091,1,Solving for a variable
70727,55074,1,Solving for a variable
70733,55098,1,Solving for a variable
70733,55210,0,Solving for a variable
70733,55191,0,Solving for a variable
70733,55310,0,Solving for a variable
70733,55305,0,Solving for a variable
70734,55157,1,Solving for a variable
70734,55049,1,Solving for a variable
70734,55072,0,Solving for a variable
70734,55111,1,Solving for a variable
70745,55153,1,Solving for a variable
70746,55088,1,Solving for a variable
70746,57283,1,Solving for a variable
70746,55110,1,Solving for a variable
70746,55308,0,Solving for a variable
70746,55119,1,Solving for a variable
70748,55114,1,Solving for a variable
70756,55098,1,Solving for a variable
70872,55314,0,Solving for a variable
70872,57276,0,Solving for a variable
70872,55204,0,Solving for a variable
70872,55198,0,Solving for a variable
70872,55193,0,Solving for a variable
70872,55129,1,Solving for a variable
70874,55292,1,Solving for a variable
70874,55113,1,Solving for a variable
71740,55149,1,Solving for a variable
71740,55174,1,Solving for a variable
71807,55200,0,Solving for a variable
71807,57274,0,Solving for a variable
71810,55127,1,Solving for a variable
71824,55048,1,Solving for a variable
71831,55075,1,Solving for a variable
71872,55151,1,Solving for a variable
71881,55084,1,Solving for a variable
71881,57256,1,Solving for a variable
73684,55147,1,Solving for a variable
73962,55053,0,Solving for a variable
74673,55128,1,Solving for a variable
74678,55073,1,Solving for a variable
74698,55047,1,Solving for a variable
74698,55320,0,Solving for a variable
74698,55207,0,Solving for a variable
74698,55277,0,Solving for a variable
75169,55093,1,Solving for a variable
75169,55276,1,Solving for a variable
75169,55261,1,Solving for a variable
75169,57266,1,Solving for a variable
75169,55113,1,Solving for a variable
75169,55066,1,Solving for a variable
75361,55052,1,Solving for a variable
78073,55304,1,Solving for a variable
78073,55121,1,Solving for a variable
78154,55075,1,Solving for a variable
78154,55100,1,Solving for a variable
78154,55071,0,Solving for a variable
78154,55055,1,Solving for a variable
78154,55335,1,Solving for a variable
78154,55123,1,Solving for a variable
78154,55194,1,Solving for a variable
78154,55202,0,Solving for a variable
78154,55298,1,Solving for a variable
78154,55263,1,Solving for a variable
78154,55274,1,Solving for a variable
78157,55114,1,Solving for a variable
78157,55148,1,Solving for a variable
78157,55097,1,Solving for a variable
78157,55330,1,Solving for a variable
78157,55319,1,Solving for a variable
78157,57257,0,Solving for a variable
78157,55289,0,Solving for a variable
78157,55207,0,Solving for a variable
78157,55195,1,Solving for a variable
78160,55126,1,Solving for a variable
78160,55084,1,Solving for a variable
78160,55049,1,Solving for a variable
78160,55099,0,Solving for a variable
78160,55041,1,Solving for a variable
78160,55113,1,Solving for a variable
78160,55292,1,Solving for a variable
78160,55320,1,Solving for a variable
78160,55180,1,Solving for a variable
78161,55202,0,Solving for a variable
78163,55111,1,Solving for a variable
78163,55110,1,Solving for a variable
78163,57281,1,Solving for a variable
78163,55118,1,Solving for a variable
78163,57257,1,Solving for a variable
78163,55269,0,Solving for a variable
78163,55311,1,Solving for a variable
78163,57278,1,Solving for a variable
78168,55184,0,Solving for a variable
78168,55176,1,Solving for a variable
78168,55326,1,Solving for a variable
78168,55259,1,Solving for a variable
78169,55313,1,Solving for a variable
78169,55274,1,Solving for a variable
78169,55320,1,Solving for a variable
78169,55105,1,Solving for a variable
78169,55134,1,Solving for a variable
78169,55070,1,Solving for a variable
78169,55187,0,Solving for a variable
78169,55331,0,Solving for a variable
78169,57266,1,Solving for a variable
78169,55317,1,Solving for a variable
78169,55216,0,Solving for a variable
78169,55302,1,Solving for a variable
78169,55185,0,Solving for a variable
78169,55278,1,Solving for a variable
78169,55251,1,Solving for a variable
78169,55272,0,Solving for a variable
78169,55338,1,Solving for a variable
78171,55134,1,Solving for a variable
78171,55125,1,Solving for a variable
78171,55146,1,Solving for a variable
78171,55283,1,Solving for a variable
78171,55307,1,Solving for a variable
78171,55314,1,Solving for a variable
78171,55251,0,Solving for a variable
78171,55306,1,Solving for a variable
78171,57284,1,Solving for a variable
78173,55180,1,Solving for a variable
78173,57282,1,Solving for a variable
78173,55293,1,Solving for a variable
78173,55090,1,Solving for a variable
78173,55112,1,Solving for a variable
78173,55071,1,Solving for a variable
78173,57276,0,Solving for a variable
78176,55219,1,Solving for a variable
78176,55311,1,Solving for a variable
78176,57267,1,Solving for a variable
78176,55087,1,Solving for a variable
78176,55134,1,Solving for a variable
78176,55085,1,Solving for a variable
78178,55268,1,Solving for a variable
78178,55167,1,Solving for a variable
78178,55254,1,Solving for a variable
78178,55332,1,Solving for a variable
78178,55266,0,Solving for a variable
78178,55305,1,Solving for a variable
78178,55207,0,Solving for a variable
78178,55097,1,Solving for a variable
78178,55255,1,Solving for a variable
78178,55183,0,Solving for a variable
78178,55195,0,Solving for a variable
78178,55121,1,Solving for a variable
78178,55145,1,Solving for a variable
78178,55277,1,Solving for a variable
78266,57266,1,Solving for a variable
78266,57282,1,Solving for a variable
78266,55263,0,Solving for a variable
78266,57275,0,Solving for a variable
78266,55170,1,Solving for a variable
78266,55158,1,Solving for a variable
78266,55156,1,Solving for a variable
78266,55129,1,Solving for a variable
78266,55318,0,Solving for a variable
78267,55140,1,Solving for a variable
78267,55157,1,Solving for a variable
78267,55119,1,Solving for a variable
78267,55258,1,Solving for a variable
78267,55269,1,Solving for a variable
78267,55259,1,Solving for a variable
78269,55298,0,Solving for a variable
78269,55299,1,Solving for a variable
78269,55305,1,Solving for a variable
78269,55258,0,Solving for a variable
78269,55333,1,Solving for a variable
78269,57269,1,Solving for a variable
78269,55292,0,Solving for a variable
78269,55067,1,Solving for a variable
78269,55273,0,Solving for a variable
78269,55054,1,Solving for a variable
78269,55137,1,Solving for a variable
78269,55174,0,Solving for a variable
78269,55270,0,Solving for a variable
78269,55220,0,Solving for a variable
78270,55063,1,Solving for a variable
78270,55138,1,Solving for a variable
78270,55155,1,Solving for a variable
78270,57284,1,Solving for a variable
78270,55264,1,Solving for a variable
78270,55191,0,Solving for a variable
78270,55286,0,Solving for a variable
78270,55250,0,Solving for a variable
78270,55192,0,Solving for a variable
78270,55187,0,Solving for a variable
78270,55216,1,Solving for a variable
78272,55141,1,Solving for a variable
78272,55088,1,Solving for a variable
78272,55135,1,Solving for a variable
78272,55329,1,Solving for a variable
78272,57264,1,Solving for a variable
78272,55315,1,Solving for a variable
78274,55276,1,Solving for a variable
78274,55264,0,Solving for a variable
78276,55212,0,Solving for a variable
78276,55265,0,Solving for a variable
78276,55271,0,Solving for a variable
78276,55314,0,Solving for a variable
78276,55268,1,Solving for a variable
78276,57269,1,Solving for a variable
78276,55322,1,Solving for a variable
78277,55072,0,Solving for a variable
78277,55283,1,Solving for a variable
78277,55148,1,Solving for a variable
78277,55269,1,Solving for a variable
78277,55331,1,Solving for a variable
78278,55210,1,Solving for a variable
78278,55295,0,Solving for a variable
78278,55290,1,Solving for a variable
78278,55316,1,Solving for a variable
78278,55303,1,Solving for a variable
78278,55078,1,Solving for a variable
78278,55059,1,Solving for a variable
78278,55105,1,Solving for a variable
78280,55100,0,Solving for a variable
78280,55064,1,Solving for a variable
78280,55132,1,Solving for a variable
78280,55050,1,Solving for a variable
78280,55070,0,Solving for a variable
78280,55157,1,Solving for a variable
78280,57283,1,Solving for a variable
78280,57280,1,Solving for a variable
78280,55325,0,Solving for a variable
78280,55252,0,Solving for a variable
78280,55169,1,Solving for a variable
78280,57261,1,Solving for a variable
78281,55091,0,Solving for a variable
78281,57280,0,Solving for a variable
78281,55327,0,Solving for a variable
78281,55270,0,Solving for a variable
78281,55254,0,Solving for a variable
78281,55273,0,Solving for a variable
78281,55291,0,Solving for a variable
78281,55192,0,Solving for a variable
78281,55216,0,Solving for a variable
78281,55187,0,Solving for a variable
78281,57262,0,Solving for a variable
78282,55294,1,Solving for a variable
78282,55299,1,Solving for a variable
78282,55175,1,Solving for a variable
78282,55111,1,Solving for a variable
78282,55043,1,Solving for a variable
78282,55116,1,Solving for a variable
78283,55100,1,Solving for a variable
78283,55120,1,Solving for a variable
78283,55137,1,Solving for a variable
78283,55191,1,Solving for a variable
78283,55257,1,Solving for a variable
78283,55279,1,Solving for a variable
78284,55286,1,Solving for a variable
78284,57264,0,Solving for a variable
78284,55120,1,Solving for a variable
78284,55118,1,Solving for a variable
78284,55113,1,Solving for a variable
78285,55160,1,Solving for a variable
78285,55124,1,Solving for a variable
78285,55312,1,Solving for a variable
78285,57281,1,Solving for a variable
78285,55096,1,Solving for a variable
78285,55198,0,Solving for a variable
78285,55189,0,Solving for a variable
78285,55291,1,Solving for a variable
78285,55275,0,Solving for a variable
78285,55287,1,Solving for a variable
78286,55086,1,Solving for a variable
78286,55115,1,Solving for a variable
78286,55268,1,Solving for a variable
78286,55117,1,Solving for a variable
78286,55218,1,Solving for a variable
78286,55277,0,Solving for a variable
78286,55264,1,Solving for a variable
78385,55300,1,Solving for a variable
78385,55143,1,Solving for a variable
78385,55137,1,Solving for a variable
78385,55146,1,Solving for a variable
78385,55116,0,Solving for a variable
78385,55335,1,Solving for a variable
78385,55330,1,Solving for a variable
78385,55192,0,Solving for a variable
78385,57268,1,Solving for a variable
78385,55204,1,Solving for a variable
78385,55202,0,Solving for a variable
78385,55311,1,Solving for a variable
78385,57281,1,Solving for a variable
78385,55265,0,Solving for a variable
78446,55067,1,Solving for a variable
78446,55152,1,Solving for a variable
78446,55142,1,Solving for a variable
78446,55122,1,Solving for a variable
78446,55143,1,Solving for a variable
78446,55062,1,Solving for a variable
78446,55097,0,Solving for a variable
78446,55140,1,Solving for a variable
78446,55069,1,Solving for a variable
78446,55110,1,Solving for a variable
78446,55041,1,Solving for a variable
78446,55087,1,Solving for a variable
78446,55053,1,Solving for a variable
78447,55157,1,Solving for a variable
78447,55113,1,Solving for a variable
78447,55084,1,Solving for a variable
78447,55116,1,Solving for a variable
78447,55119,1,Solving for a variable
78447,55158,1,Solving for a variable
78447,55054,1,Solving for a variable
78447,55069,1,Solving for a variable
78449,55159,1,Solving for a variable
78449,55100,1,Solving for a variable
78449,55069,1,Solving for a variable
78449,55116,1,Solving for a variable
78449,55142,1,Solving for a variable
