user_id,problem_id,correct,skill_name
64525,58021,1,Stem and Leaf Plot
64525,58134,1,Stem and Leaf Plot
64525,93555,1,Stem and Leaf Plot
70363,57913,1,Stem and Leaf Plot
70363,57763,1,Stem and Leaf Plot
70363,58129,0,Stem and Leaf Plot
70363,57819,0,Stem and Leaf Plot
70363,57875,1,Stem and Leaf Plot
70363,57887,1,Stem and Leaf Plot
70363,58061,0,Stem and Leaf Plot
70363,57827,0,Stem and Leaf Plot
70363,57921,0,Stem and Leaf Plot
70363,58239,0,Stem and Leaf Plot
70363,58065,1,Stem and Leaf Plot
70677,93590,1,Stem and Leaf Plot
70677,58194,1,Stem and Leaf Plot
70677,57755,1,Stem and Leaf Plot
70677,58204,0,Stem and Leaf Plot
70677,93580,1,Stem and Leaf Plot
70677,58174,1,Stem and Leaf Plot
70679,57823,0,Stem and Leaf Plot
70679,57937,0,Stem and Leaf Plot
70679,58045,0,Stem and Leaf Plot
70679,58099,0,Stem and Leaf Plot
70699,93588,1,Stem and Leaf Plot
70699,93604,0,Stem and Leaf Plot
70699,93583,1,Stem and Leaf Plot
70699,93550,1,Stem and Leaf Plot
70699,93609,0,Stem and Leaf Plot
70699,93612,0,Stem and Leaf Plot
70699,58081,1,Stem and Leaf Plot
70699,57933,1,Stem and Leaf Plot
70699,93563,1,Stem and Leaf Plot
70701,57933,1,Stem and Leaf Plot
70701,57887,1,Stem and Leaf Plot
70707,57767,1,Stem and Leaf Plot
70707,93485,1,Stem and Leaf Plot
70707,58029,1,Stem and Leaf Plot
70728,58094,0,Stem and Leaf Plot
70729,93563,1,Stem and Leaf Plot
70733,93485,1,Stem and Leaf Plot
70750,57735,1,Stem and Leaf Plot
70750,58184,1,Stem and Leaf Plot
70750,58204,1,Stem and Leaf Plot
70759,57993,1,Stem and Leaf Plot
70759,57795,1,Stem and Leaf Plot
70759,57859,1,Stem and Leaf Plot
70759,58021,1,Stem and Leaf Plot
70759,57767,1,Stem and Leaf Plot
70759,57875,0,Stem and Leaf Plot
70816,93472,0,Stem and Leaf Plot
70816,93499,1,Stem and Leaf Plot
70816,93588,1,Stem and Leaf Plot
70816,93493,1,Stem and Leaf Plot
70872,93545,1,Stem and Leaf Plot
70872,58013,1,Stem and Leaf Plot
70872,58005,1,Stem and Leaf Plot
71176,93590,1,Stem and Leaf Plot
71179,58021,1,Stem and Leaf Plot
71179,58061,1,Stem and Leaf Plot
71179,93559,1,Stem and Leaf Plot
71179,58179,0,Stem and Leaf Plot
71179,58194,0,Stem and Leaf Plot
71183,93486,1,Stem and Leaf Plot
71183,58194,0,Stem and Leaf Plot
71187,58005,1,Stem and Leaf Plot
71187,57879,1,Stem and Leaf Plot
71187,93585,1,Stem and Leaf Plot
71190,57827,1,Stem and Leaf Plot
71190,58089,1,Stem and Leaf Plot
71190,93472,1,Stem and Leaf Plot
71191,57771,1,Stem and Leaf Plot
71191,58234,0,Stem and Leaf Plot
71205,93597,0,Stem and Leaf Plot
71209,93589,1,Stem and Leaf Plot
71210,57871,1,Stem and Leaf Plot
71210,93548,1,Stem and Leaf Plot
71210,57917,1,Stem and Leaf Plot
71211,93491,1,Stem and Leaf Plot
71221,58109,0,Stem and Leaf Plot
71221,58139,0,Stem and Leaf Plot
71221,58073,1,Stem and Leaf Plot
71221,58025,1,Stem and Leaf Plot
71221,58229,0,Stem and Leaf Plot
71221,57875,1,Stem and Leaf Plot
71221,93612,0,Stem and Leaf Plot
71221,57925,1,Stem and Leaf Plot
71221,58085,1,Stem and Leaf Plot
71221,93590,1,Stem and Leaf Plot
71224,57913,1,Stem and Leaf Plot
71224,58129,0,Stem and Leaf Plot
71224,57981,1,Stem and Leaf Plot
71224,57907,1,Stem and Leaf Plot
71224,93486,1,Stem and Leaf Plot
71224,93609,0,Stem and Leaf Plot
71224,93585,1,Stem and Leaf Plot
71224,93574,0,Stem and Leaf Plot
71224,93606,0,Stem and Leaf Plot
71224,93589,1,Stem and Leaf Plot
71227,57895,1,Stem and Leaf Plot
71227,58089,1,Stem and Leaf Plot
71227,93534,1,Stem and Leaf Plot
71230,93484,1,Stem and Leaf Plot
71230,93556,1,Stem and Leaf Plot
71230,93568,1,Stem and Leaf Plot
71230,57969,1,Stem and Leaf Plot
71230,57961,1,Stem and Leaf Plot
71230,93603,0,Stem and Leaf Plot
71231,93586,0,Stem and Leaf Plot
71231,93584,1,Stem and Leaf Plot
71231,93557,1,Stem and Leaf Plot
71231,93495,0,Stem and Leaf Plot
71232,93565,1,Stem and Leaf Plot
71232,58081,1,Stem and Leaf Plot
71232,58219,1,Stem and Leaf Plot
71250,57771,1,Stem and Leaf Plot
71250,93581,1,Stem and Leaf Plot
71250,57787,1,Stem and Leaf Plot
