user_id,problem_id,correct,skill_name
70707,90272,1,Surface Area Cylinder
70732,90296,0,Surface Area Cylinder
70746,90269,0,Surface Area Cylinder
70874,90262,0,Surface Area Cylinder
70874,90298,0,Surface Area Cylinder
70874,90276,0,Surface Area Cylinder
71831,90286,1,Surface Area Cylinder
73684,90273,1,Surface Area Cylinder
75169,90280,0,Surface Area Cylinder
75169,90264,1,Surface Area Cylinder
78037,90286,0,Surface Area Cylinder
78037,90283,0,Surface Area Cylinder
78037,90275,0,Surface Area Cylinder
78037,90294,0,Surface Area Cylinder
78038,90284,1,Surface Area Cylinder
78038,90288,0,Surface Area Cylinder
78038,90289,1,Surface Area Cylinder
78039,90278,0,Surface Area Cylinder
78039,90282,1,Surface Area Cylinder
78039,90276,1,Surface Area Cylinder
78040,90280,1,Surface Area Cylinder
78041,90298,0,Surface Area Cylinder
78041,90281,0,Surface Area Cylinder
78041,90285,0,Surface Area Cylinder
78041,90267,1,Surface Area Cylinder
78041,90270,0,Surface Area Cylinder
78041,90271,0,Surface Area Cylinder
78041,90287,0,Surface Area Cylinder
78042,90264,1,Surface Area Cylinder
78042,90284,1,Surface Area Cylinder
78042,90281,0,Surface Area Cylinder
78043,90281,1,Surface Area Cylinder
78044,90297,0,Surface Area Cylinder
78044,90300,0,Surface Area Cylinder
78045,90281,0,Surface Area Cylinder
78045,90280,0,Surface Area Cylinder
78045,90270,1,Surface Area Cylinder
78046,90290,1,Surface Area Cylinder
78048,90298,0,Surface Area Cylinder
78048,90287,0,Surface Area Cylinder
78048,90290,0,Surface Area Cylinder
78049,90283,0,Surface Area Cylinder
78049,90294,0,Surface Area Cylinder
78049,90274,0,Surface Area Cylinder
78051,90281,1,Surface Area Cylinder
78051,90289,1,Surface Area Cylinder
78051,90268,1,Surface Area Cylinder
78051,90283,0,Surface Area Cylinder
78052,90294,0,Surface Area Cylinder
78052,90299,0,Surface Area Cylinder
78052,90261,1,Surface Area Cylinder
78052,90281,1,Surface Area Cylinder
78052,90269,1,Surface Area Cylinder
78904,90279,1,Surface Area Cylinder
78904,90280,0,Surface Area Cylinder
78904,90297,1,Surface Area Cylinder
78906,90267,0,Surface Area Cylinder
78906,90290,1,Surface Area Cylinder
78906,90291,0,Surface Area Cylinder
78906,90300,0,Surface Area Cylinder
78907,90268,1,Surface Area Cylinder
78907,90294,0,Surface Area Cylinder
78907,90291,0,Surface Area Cylinder
78908,90266,0,Surface Area Cylinder
78908,90278,1,Surface Area Cylinder
78908,90264,0,Surface Area Cylinder
78908,90297,1,Surface Area Cylinder
78908,90273,0,Surface Area Cylinder
78909,90291,0,Surface Area Cylinder
78909,90269,1,Surface Area Cylinder
78909,90289,1,Surface Area Cylinder
78909,90277,1,Surface Area Cylinder
78910,90265,1,Surface Area Cylinder
78910,90268,0,Surface Area Cylinder
78913,90270,1,Surface Area Cylinder
78913,90271,0,Surface Area Cylinder
78913,90293,0,Surface Area Cylinder
78915,90276,0,Surface Area Cylinder
78919,90286,0,Surface Area Cylinder
78919,90291,1,Surface Area Cylinder
78919,90284,1,Surface Area Cylinder
78921,90262,0,Surface Area Cylinder
78921,90275,1,Surface Area Cylinder
78922,90288,1,Surface Area Cylinder
78922,90277,0,Surface Area Cylinder
78922,90274,1,Surface Area Cylinder
78923,90270,0,Surface Area Cylinder
78923,90266,1,Surface Area Cylinder
78923,90287,0,Surface Area Cylinder
78923,90263,0,Surface Area Cylinder
78923,90279,0,Surface Area Cylinder
78923,90296,1,Surface Area Cylinder
78968,90284,0,Surface Area Cylinder
78968,90276,1,Surface Area Cylinder
78968,90268,0,Surface Area Cylinder
78971,90272,0,Surface Area Cylinder
78971,90267,0,Surface Area Cylinder
78971,90299,0,Surface Area Cylinder
78971,90273,0,Surface Area Cylinder
78971,90261,1,Surface Area Cylinder
78972,90287,1,Surface Area Cylinder
78972,90282,0,Surface Area Cylinder
78976,90265,1,Surface Area Cylinder
78976,90266,1,Surface Area Cylinder
78976,90286,0,Surface Area Cylinder
78976,90300,0,Surface Area Cylinder
78977,90287,0,Surface Area Cylinder
78977,90275,0,Surface Area Cylinder
78977,90269,0,Surface Area Cylinder
78977,90290,0,Surface Area Cylinder
78977,90289,1,Surface Area Cylinder
78979,90261,0,Surface Area Cylinder
78979,90269,0,Surface Area Cylinder
78979,90267,0,Surface Area Cylinder
78979,90289,1,Surface Area Cylinder
78980,90289,0,Surface Area Cylinder
78980,90268,0,Surface Area Cylinder
78980,90287,0,Surface Area Cylinder
78980,90297,1,Surface Area Cylinder
78980,90288,0,Surface Area Cylinder
78980,90293,1,Surface Area Cylinder
78980,90269,0,Surface Area Cylinder
78980,90298,0,Surface Area Cylinder
78980,90270,1,Surface Area Cylinder
78980,90299,0,Surface Area Cylinder
78980,90277,0,Surface Area Cylinder
78980,90264,0,Surface Area Cylinder
78980,90290,0,Surface Area Cylinder
78981,90271,1,Surface Area Cylinder
78981,90272,0,Surface Area Cylinder
78981,90291,0,Surface Area Cylinder
78982,90286,1,Surface Area Cylinder
78982,90284,1,Surface Area Cylinder
78982,90267,0,Surface Area Cylinder
78982,90297,0,Surface Area Cylinder
78982,90290,1,Surface Area Cylinder
78983,90280,0,Surface Area Cylinder
78985,90267,1,Surface Area Cylinder
78985,90266,1,Surface Area Cylinder
78985,90268,1,Surface Area Cylinder
78985,90264,0,Surface Area Cylinder
78985,90262,0,Surface Area Cylinder
78985,90286,0,Surface Area Cylinder
78985,90287,0,Surface Area Cylinder
78989,90295,0,Surface Area Cylinder
78992,90282,1,Surface Area Cylinder
78992,90297,0,Surface Area Cylinder
78992,90267,1,Surface Area Cylinder
