user_id,problem_id,correct,skill_name
64525,92969,1,Translations
70702,92971,1,Translations
70702,92966,1,Translations
70707,92973,0,Translations
70707,92970,1,Translations
70707,92962,0,Translations
70707,92973,1,Translations
70708,92977,0,Translations
70727,92981,0,Translations
70727,92980,0,Translations
70727,92957,0,Translations
70729,92972,0,Translations
70733,92973,0,Translations
70745,92961,1,Translations
70745,92975,1,Translations
70746,92956,0,Translations
70746,93019,0,Translations
70816,92974,0,Translations
71740,92980,0,Translations
71740,92960,0,Translations
71740,92965,0,Translations
71740,92964,1,Translations
71824,92970,1,Translations
71826,92962,1,Translations
71881,92961,0,Translations
71881,92978,1,Translations
71881,92965,1,Translations
73684,92960,0,Translations
73684,92981,0,Translations
73685,92974,0,Translations
73685,92956,1,Translations
75169,92978,1,Translations
75169,92980,1,Translations
75169,92958,1,Translations
75169,92980,1,Translations
75169,92956,0,Translations
75169,92974,0,Translations
75169,92976,0,Translations
76456,92968,1,Translations
78073,92983,0,Translations
78073,92959,1,Translations
78413,92957,0,Translations
78414,92964,0,Translations
78414,92981,0,Translations
78414,92960,0,Translations
78414,92968,0,Translations
78414,92977,0,Translations
78414,92966,0,Translations
78414,92971,0,Translations
78414,92962,0,Translations
78414,92979,0,Translations
78415,92956,0,Translations
78415,92960,0,Translations
78415,92963,0,Translations
78415,92977,0,Translations
78415,92978,0,Translations
78415,92969,0,Translations
78415,92957,0,Translations
78415,92971,0,Translations
78415,92966,0,Translations
78415,92981,0,Translations
78415,92968,1,Translations
78415,92975,0,Translations
78423,92958,0,Translations
78446,92971,1,Translations
78450,92982,1,Translations
78455,92982,0,Translations
78461,92954,1,Translations
78461,92976,1,Translations
78461,92961,0,Translations
78863,92957,0,Translations
78970,92965,0,Translations
78970,92960,0,Translations
78970,92983,1,Translations
78970,92956,1,Translations
78974,92973,1,Translations
78977,92979,1,Translations
78977,92964,0,Translations
78977,93019,0,Translations
78978,92955,0,Translations
78978,92957,0,Translations
78979,92973,1,Translations
78979,92971,1,Translations
78980,92960,0,Translations
78980,92979,1,Translations
78982,92971,1,Translations
