user_id,problem_id,correct,skill_name
64525,77404,1,Volume Sphere
70707,77376,0,Volume Sphere
70707,77377,1,Volume Sphere
70707,77378,0,Volume Sphere
70708,77351,1,Volume Sphere
70708,77350,1,Volume Sphere
70708,77349,1,Volume Sphere
70708,77348,0,Volume Sphere
70708,77363,1,Volume Sphere
70708,77362,1,Volume Sphere
70708,77361,1,Volume Sphere
70708,77360,0,Volume Sphere
70708,77340,1,Volume Sphere
70708,77427,1,Volume Sphere
70708,77426,1,Volume Sphere
70708,77425,1,Volume Sphere
70708,77424,0,Volume Sphere
70708,77392,1,Volume Sphere
70708,77423,0,Volume Sphere
70708,77422,1,Volume Sphere
70708,77421,1,Volume Sphere
70708,77420,0,Volume Sphere
70708,77324,1,Volume Sphere
70733,77376,1,Volume Sphere
70733,77344,1,Volume Sphere
70733,77360,1,Volume Sphere
70733,77427,0,Volume Sphere
70733,77426,1,Volume Sphere
70733,77425,1,Volume Sphere
70733,77424,0,Volume Sphere
70746,77392,0,Volume Sphere
70746,77393,1,Volume Sphere
70746,77394,1,Volume Sphere
70746,77395,0,Volume Sphere
70746,77404,0,Volume Sphere
70754,77369,0,Volume Sphere
70754,77368,0,Volume Sphere
70874,77324,1,Volume Sphere
71881,77367,1,Volume Sphere
71881,77384,0,Volume Sphere
71881,77385,1,Volume Sphere
71881,77386,0,Volume Sphere
71881,77387,0,Volume Sphere
71881,77420,1,Volume Sphere
71881,77360,0,Volume Sphere
71881,77425,1,Volume Sphere
71881,77362,1,Volume Sphere
71881,77363,1,Volume Sphere
71881,77424,0,Volume Sphere
71881,77366,1,Volume Sphere
71881,77426,1,Volume Sphere
71881,77427,1,Volume Sphere
71881,77361,1,Volume Sphere
71881,77365,1,Volume Sphere
71881,77399,0,Volume Sphere
71881,77345,1,Volume Sphere
71881,77333,1,Volume Sphere
71881,77334,1,Volume Sphere
71881,77335,0,Volume Sphere
71881,77344,0,Volume Sphere
71881,77346,1,Volume Sphere
71881,77332,0,Volume Sphere
71881,77347,0,Volume Sphere
71881,77389,1,Volume Sphere
71881,77390,1,Volume Sphere
71881,77391,0,Volume Sphere
71881,77396,0,Volume Sphere
71881,77397,1,Volume Sphere
71881,77398,1,Volume Sphere
71881,77388,0,Volume Sphere
71881,77364,0,Volume Sphere
73684,77376,1,Volume Sphere
73684,77340,1,Volume Sphere
73684,77387,0,Volume Sphere
73684,77336,1,Volume Sphere
73684,77386,1,Volume Sphere
73684,77352,1,Volume Sphere
73684,77384,0,Volume Sphere
73684,77383,0,Volume Sphere
73684,77382,1,Volume Sphere
73684,77381,0,Volume Sphere
73684,77380,0,Volume Sphere
73684,77385,1,Volume Sphere
73685,77392,1,Volume Sphere
73685,77408,1,Volume Sphere
73685,77312,1,Volume Sphere
73685,77322,1,Volume Sphere
73685,77321,1,Volume Sphere
73685,77323,0,Volume Sphere
73685,77387,1,Volume Sphere
73685,77386,0,Volume Sphere
73685,77385,0,Volume Sphere
73685,77384,0,Volume Sphere
73685,77320,0,Volume Sphere
75169,77324,1,Volume Sphere
78073,77324,0,Volume Sphere
78073,77325,1,Volume Sphere
78073,77326,1,Volume Sphere
78073,77327,0,Volume Sphere
78073,77356,1,Volume Sphere
78073,77400,1,Volume Sphere
78073,77404,1,Volume Sphere
78903,77356,1,Volume Sphere
78904,77360,1,Volume Sphere
78904,77391,0,Volume Sphere
78904,77356,1,Volume Sphere
78904,77380,1,Volume Sphere
78904,77390,1,Volume Sphere
78904,77326,1,Volume Sphere
78904,77388,0,Volume Sphere
78904,77327,0,Volume Sphere
78904,77389,1,Volume Sphere
78904,77325,1,Volume Sphere
78904,77324,0,Volume Sphere
78905,77396,1,Volume Sphere
78905,77404,1,Volume Sphere
78905,77343,1,Volume Sphere
78905,77342,1,Volume Sphere
78905,77341,1,Volume Sphere
78905,77340,0,Volume Sphere
78905,77352,1,Volume Sphere
78905,77375,0,Volume Sphere
78905,77374,1,Volume Sphere
78905,77373,1,Volume Sphere
78905,77372,0,Volume Sphere
78905,77412,1,Volume Sphere
78905,77427,1,Volume Sphere
78905,77320,1,Volume Sphere
78905,77325,0,Volume Sphere
78905,77326,1,Volume Sphere
78905,77327,0,Volume Sphere
78905,77324,0,Volume Sphere
78905,77312,1,Volume Sphere
78905,77424,0,Volume Sphere
78905,77425,1,Volume Sphere
78905,77426,1,Volume Sphere
78905,77384,1,Volume Sphere
78906,77320,1,Volume Sphere
78906,77314,1,Volume Sphere
78906,77327,1,Volume Sphere
78906,77326,1,Volume Sphere
78906,77325,1,Volume Sphere
78906,77324,0,Volume Sphere
78906,77360,1,Volume Sphere
78906,77340,1,Volume Sphere
78906,77315,0,Volume Sphere
78906,77313,1,Volume Sphere
78906,77328,1,Volume Sphere
78906,77355,1,Volume Sphere
78906,77354,1,Volume Sphere
78906,77353,1,Volume Sphere
78906,77352,0,Volume Sphere
78906,77376,1,Volume Sphere
78906,77347,1,Volume Sphere
78906,77346,1,Volume Sphere
78906,77345,1,Volume Sphere
78906,77344,0,Volume Sphere
78906,77400,1,Volume Sphere
78906,77312,0,Volume Sphere
78906,77348,1,Volume Sphere
78907,77428,1,Volume Sphere
78908,77388,1,Volume Sphere
78909,77380,1,Volume Sphere
78910,77356,0,Volume Sphere
78910,77357,1,Volume Sphere
78910,77358,1,Volume Sphere
78910,77359,1,Volume Sphere
78910,77340,1,Volume Sphere
78910,77376,1,Volume Sphere
78910,77368,1,Volume Sphere
78911,77392,0,Volume Sphere
78911,77393,1,Volume Sphere
78911,77394,1,Volume Sphere
78911,77324,0,Volume Sphere
78911,77404,1,Volume Sphere
78911,77326,1,Volume Sphere
78911,77327,0,Volume Sphere
78911,77380,1,Volume Sphere
78911,77347,0,Volume Sphere
78911,77325,1,Volume Sphere
78911,77346,1,Volume Sphere
78911,77395,1,Volume Sphere
78911,77344,0,Volume Sphere
78911,77368,1,Volume Sphere
78911,77403,0,Volume Sphere
78911,77402,1,Volume Sphere
78911,77401,1,Volume Sphere
78911,77400,0,Volume Sphere
78911,77335,0,Volume Sphere
78911,77334,1,Volume Sphere
78911,77333,0,Volume Sphere
78911,77332,0,Volume Sphere
78911,77345,1,Volume Sphere
78912,77408,1,Volume Sphere
78912,77368,1,Volume Sphere
78912,77428,1,Volume Sphere
78912,77339,1,Volume Sphere
78912,77337,0,Volume Sphere
78912,77336,0,Volume Sphere
78912,77338,1,Volume Sphere
78913,77396,0,Volume Sphere
78913,77412,1,Volume Sphere
78913,77380,1,Volume Sphere
78913,77316,1,Volume Sphere
78913,77379,1,Volume Sphere
78913,77378,1,Volume Sphere
78913,77377,1,Volume Sphere
78913,77376,0,Volume Sphere
