user_id,problem_id,correct,skill_name
64525,55028,1,Write Linear Equation from Ordered Pairs
70363,55037,0,Write Linear Equation from Ordered Pairs
70363,55023,0,Write Linear Equation from Ordered Pairs
70363,55025,0,Write Linear Equation from Ordered Pairs
70363,55032,0,Write Linear Equation from Ordered Pairs
70363,55038,1,Write Linear Equation from Ordered Pairs
70363,55021,0,Write Linear Equation from Ordered Pairs
70363,55015,1,Write Linear Equation from Ordered Pairs
70707,55023,0,Write Linear Equation from Ordered Pairs
70707,55020,0,Write Linear Equation from Ordered Pairs
70729,55028,0,Write Linear Equation from Ordered Pairs
70729,55015,0,Write Linear Equation from Ordered Pairs
70733,55030,1,Write Linear Equation from Ordered Pairs
70746,55033,1,Write Linear Equation from Ordered Pairs
70746,55034,0,Write Linear Equation from Ordered Pairs
70746,55027,0,Write Linear Equation from Ordered Pairs
70746,55030,0,Write Linear Equation from Ordered Pairs
70746,55021,0,Write Linear Equation from Ordered Pairs
70746,55028,0,Write Linear Equation from Ordered Pairs
70872,55025,0,Write Linear Equation from Ordered Pairs
70872,55027,0,Write Linear Equation from Ordered Pairs
71740,55021,1,Write Linear Equation from Ordered Pairs
71807,55017,1,Write Linear Equation from Ordered Pairs
71881,55015,0,Write Linear Equation from Ordered Pairs
71881,55026,0,Write Linear Equation from Ordered Pairs
71881,55037,1,Write Linear Equation from Ordered Pairs
73684,55031,0,Write Linear Equation from Ordered Pairs
73684,55020,1,Write Linear Equation from Ordered Pairs
73684,55035,1,Write Linear Equation from Ordered Pairs
73684,55039,1,Write Linear Equation from Ordered Pairs
74698,55038,0,Write Linear Equation from Ordered Pairs
74704,55013,1,Write Linear Equation from Ordered Pairs
75169,55019,1,Write Linear Equation from Ordered Pairs
75169,55016,1,Write Linear Equation from Ordered Pairs
78073,55036,0,Write Linear Equation from Ordered Pairs
78073,55026,1,Write Linear Equation from Ordered Pairs
78073,55027,1,Write Linear Equation from Ordered Pairs
78073,55029,1,Write Linear Equation from Ordered Pairs
78673,55037,0,Write Linear Equation from Ordered Pairs
78673,55025,1,Write Linear Equation from Ordered Pairs
78673,55019,1,Write Linear Equation from Ordered Pairs
78673,55021,1,Write Linear Equation from Ordered Pairs
78675,55023,0,Write Linear Equation from Ordered Pairs
78903,55025,0,Write Linear Equation from Ordered Pairs
78904,55017,1,Write Linear Equation from Ordered Pairs
